,,Latinx Population,White Population,Native American Population,Asian Population,Black Population,Number of Air BnB Listings
2011,10463,66156.0,86432.0,1113.0,10776.0,30005.0,0.0
2011,10464,1702.0,10522.0,117.0,252.0,236.0,0.0
2011,10465,28162.0,82182.0,860.0,4383.0,11763.0,0.0
2011,10466,30572.0,15445.0,1384.0,7790.0,163307.0,0.0
2011,10467,83804.0,51084.0,3105.0,21420.0,108860.0,0.0
2011,10468,101720.0,24659.0,1066.0,11870.0,53391.0,0.0
2011,10469,34720.0,42319.0,2036.0,13183.0,119197.0,0.0
2011,10470,5014.0,20237.0,115.0,2338.0,15515.0,0.0
2011,10471,8742.0,47174.0,182.0,6494.0,5479.0,0.0
2011,10472,85800.0,24649.0,2032.0,16541.0,61405.0,0.0
2011,10473,68916.0,19723.0,739.0,4063.0,66598.0,0.0
2011,10474,18140.0,9974.0,138.0,382.0,11238.0,0.0
2011,10475,26598.0,24110.0,965.0,1371.0,71672.0,0.0
2011,10501,202.0,3181.0,0.0,212.0,57.0,0.0
2011,10502,1576.0,11738.0,0.0,3354.0,449.0,0.0
2011,10503,0.0,603.0,0.0,84.0,0.0,0.0
2011,10504,658.0,21748.0,21.0,1726.0,200.0,0.0
2011,10505,30.0,1547.0,0.0,379.0,0.0,0.0
2011,10506,742.0,14933.0,91.0,432.0,190.0,0.0
2011,10507,2994.0,15291.0,35.0,706.0,3302.0,0.0
2011,10509,5240.0,51731.0,88.0,1788.0,1865.0,0.0
2011,10510,880.0,26601.0,174.0,3192.0,1158.0,0.0
2011,10511,1056.0,5535.0,48.0,74.0,276.0,0.0
2011,10512,4358.0,68248.0,318.0,1236.0,1971.0,0.0
2011,10514,250.0,33043.0,148.0,4691.0,911.0,0.0
2011,10516,860.0,14308.0,14.0,251.0,182.0,0.0
2011,10517,506.0,794.0,0.0,0.0,0.0,0.0
2011,10518,0.0,4128.0,0.0,192.0,0.0,0.0
2011,10519,0.0,327.0,0.0,0.0,0.0,0.0
2011,10520,3830.0,33018.0,82.0,2282.0,2002.0,0.0
2011,10522,2708.0,26210.0,232.0,2648.0,2161.0,0.0
2011,10523,3986.0,10089.0,10.0,2968.0,6739.0,0.0
2011,10524,592.0,11950.0,16.0,1024.0,150.0,0.0
2011,10526,138.0,5242.0,10.0,586.0,123.0,0.0
2011,10527,62.0,3293.0,0.0,0.0,102.0,0.0
2011,10528,3014.0,31633.0,43.0,6325.0,639.0,0.0
2011,10530,2472.0,25924.0,98.0,5498.0,2930.0,0.0
2011,10532,780.0,13424.0,0.0,728.0,581.0,0.0
2011,10533,1038.0,19499.0,0.0,2044.0,270.0,0.0
2011,10535,0.0,2127.0,0.0,0.0,117.0,0.0
2011,10536,702.0,27703.0,0.0,2086.0,611.0,0.0
2011,10537,466.0,6393.0,0.0,296.0,357.0,0.0
2011,10538,1872.0,47505.0,135.0,2269.0,129.0,0.0
2011,10541,5876.0,71708.0,247.0,1885.0,1031.0,0.0
2011,10543,8560.0,44135.0,186.0,4424.0,2454.0,0.0
2011,10545,10.0,222.0,0.0,40.0,42.0,0.0
2011,10546,422.0,2567.0,0.0,580.0,162.0,0.0
2011,10547,2850.0,19520.0,113.0,915.0,1937.0,0.0
2011,10548,436.0,7970.0,62.0,810.0,625.0,0.0
2011,10549,8320.0,32423.0,47.0,2538.0,2173.0,0.0
2011,10550,13106.0,17778.0,415.0,2068.0,73839.0,0.0
2011,10552,5038.0,30474.0,618.0,3043.0,23024.0,0.0
2011,10553,1990.0,2251.0,231.0,517.0,27687.0,0.0
2011,10560,634.0,13301.0,55.0,107.0,388.0,0.0
2011,10562,21944.0,55697.0,302.0,6218.0,12342.0,0.0
2011,10566,17344.0,32494.0,339.0,4724.0,15458.0,0.0
2011,10567,5422.0,47096.0,170.0,3308.0,4600.0,0.0
2011,10570,2162.0,33544.0,170.0,1438.0,993.0,0.0
2011,10573,33322.0,61024.0,250.0,3704.0,8429.0,0.0
2011,10576,556.0,14574.0,0.0,642.0,172.0,0.0
2011,10577,1098.0,11296.0,24.0,1207.0,883.0,0.0
