"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Total housing units!!Occupied housing units","HOUSING OCCUPANCY!!Total housing units!!Vacant housing units","HOUSING OCCUPANCY!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!Total housing units!!1-unit, detached","UNITS IN STRUCTURE!!Total housing units!!1-unit, attached","UNITS IN STRUCTURE!!Total housing units!!2 units","UNITS IN STRUCTURE!!Total housing units!!3 or 4 units","UNITS IN STRUCTURE!!Total housing units!!5 to 9 units","UNITS IN STRUCTURE!!Total housing units!!10 to 19 units","UNITS IN STRUCTURE!!Total housing units!!20 or more units","UNITS IN STRUCTURE!!Total housing units!!Mobile home","UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 or later","YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009","YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!Total housing units!!1 room","ROOMS!!Total housing units!!2 rooms","ROOMS!!Total housing units!!3 rooms","ROOMS!!Total housing units!!4 rooms","ROOMS!!Total housing units!!5 rooms","ROOMS!!Total housing units!!6 rooms","ROOMS!!Total housing units!!7 rooms","ROOMS!!Total housing units!!8 rooms","ROOMS!!Total housing units!!9 rooms or more","ROOMS!!Total housing units!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!Total housing units!!No bedroom","BEDROOMS!!Total housing units!!1 bedroom","BEDROOMS!!Total housing units!!2 bedrooms","BEDROOMS!!Total housing units!!3 bedrooms","BEDROOMS!!Total housing units!!4 bedrooms","BEDROOMS!!Total housing units!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Occupied housing units!!Owner-occupied","HOUSING TENURE!!Occupied housing units!!Renter-occupied","HOUSING TENURE!!Average household size of owner-occupied unit","HOUSING TENURE!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1969 or earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available","VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Occupied housing units!!Utility gas","HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Occupied housing units!!Electricity","HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke","HOUSE HEATING FUEL!!Occupied housing units!!Wood","HOUSE HEATING FUEL!!Occupied housing units!!Solar energy","HOUSE HEATING FUEL!!Occupied housing units!!Other fuel","HOUSE HEATING FUEL!!Occupied housing units!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less","OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50","OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Owner-occupied units!!Less than $50,000","VALUE!!Owner-occupied units!!$50,000 to $99,999","VALUE!!Owner-occupied units!!$100,000 to $149,999","VALUE!!Owner-occupied units!!$150,000 to $199,999","VALUE!!Owner-occupied units!!$200,000 to $299,999","VALUE!!Owner-occupied units!!$300,000 to $499,999","VALUE!!Owner-occupied units!!$500,000 to $999,999","VALUE!!Owner-occupied units!!$1,000,000 or more","VALUE!!Owner-occupied units!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage","MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $300","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$300 to $499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $699","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$700 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $100","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$100 to $199","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$200 to $299","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$300 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Occupied units paying rent!!Less than $200","GROSS RENT!!Occupied units paying rent!!$200 to $299","GROSS RENT!!Occupied units paying rent!!$300 to $499","GROSS RENT!!Occupied units paying rent!!$500 to $749","GROSS RENT!!Occupied units paying rent!!$750 to $999","GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499","GROSS RENT!!Occupied units paying rent!!$1,500 or more","GROSS RENT!!Occupied units paying rent!!Median (dollars)","GROSS RENT!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Not computed"
"Bronx borough, Bronx County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","522,161","492,481","29,680","2.0","2.4","","522,161","26,895","22,416","50,211","46,799","16,935","27,032","329,891","726","1,256","","522,161","6,385","25,810","15,515","13,039","44,378","77,104","77,419","69,466","193,045","","522,161","25,493","13,669","143,050","164,952","110,871","36,278","12,317","6,071","9,460","4.0","","522,161","27,499","180,309","177,338","110,535","18,419","8,061","","492,481","89,396","403,085","3.05","2.79","","492,481","164,605","169,855","80,732","40,989","23,644","12,656","","492,481","286,638","144,704","53,849","7,290","","492,481","184,283","5,131","45,743","242,889","226","156","167","5,421","8,465","","492,481","2,104","2,497","12,620","","492,481","436,721","35,466","20,294","","89,396","12,687","4,571","3,859","4,303","7,912","38,201","16,535","1,328","359,100","","89,396","53,917","35,479","","53,917","703","1,066","1,504","3,061","6,045","8,260","33,278","2,351","35,479","8,534","1,851","1,582","595","22,917","690","","53,754","15,409","5,690","4,713","4,529","23,413","163","35,105","16,745","4,300","3,301","2,457","2,135","1,216","4,951","374","","392,486","6,232","27,246","33,273","33,058","65,861","166,554","60,262","1,077","10,599","","384,191","33,289","34,545","35,822","41,398","40,474","198,663","18,894"
"    Margin of Error","","±1,271","±3,016","±2,900","±0.9","±0.4","","±1,271","±2,309","±1,988","±3,125","±3,336","±1,709","±2,672","±4,824","±435","±850","","±1,271","±979","±2,021","±2,034","±1,683","±3,722","±4,526","±4,087","±4,370","±5,510","","±1,271","±2,311","±1,741","±5,036","±5,353","±5,137","±2,564","±1,658","±1,163","±1,287","±0.1","","±1,271","±2,451","±5,194","±4,903","±4,471","±2,028","±1,347","","±3,016","±3,719","±4,698","±0.09","±0.03","","±3,016","±4,899","±5,207","±4,291","±3,227","±2,023","±1,646","","±3,016","±5,017","±4,059","±3,720","±1,093","","±3,016","±5,083","±910","±3,700","±5,844","±174","±132","±134","±1,207","±1,390","","±3,016","±732","±756","±1,745","","±3,016","±4,267","±2,877","±2,213","","±3,719","±2,195","±1,163","±910","±930","±1,254","±2,594","±1,743","±462","±10,964","","±3,719","±2,869","±2,623","","±2,869","±760","±442","±658","±716","±1,059","±1,263","±2,423","±84","±2,623","±1,542","±528","±610","±232","±1,936","±52","","±2,865","±1,593","±945","±903","±1,140","±2,253","±162","±2,612","±2,114","±771","±720","±714","±835","±425","±985","±231","","±4,782","±1,382","±2,350","±2,871","±2,826","±4,396","±5,514","±3,774","±12","±1,779","","±4,817","±3,282","±3,160","±3,133","±3,143","±3,575","±6,436","±2,012"
"    Percent","","522,161","94.3%","5.7%","(X)","(X)","","522,161","5.2%","4.3%","9.6%","9.0%","3.2%","5.2%","63.2%","0.1%","0.2%","","522,161","1.2%","4.9%","3.0%","2.5%","8.5%","14.8%","14.8%","13.3%","37.0%","","522,161","4.9%","2.6%","27.4%","31.6%","21.2%","6.9%","2.4%","1.2%","1.8%","(X)","","522,161","5.3%","34.5%","34.0%","21.2%","3.5%","1.5%","","492,481","18.2%","81.8%","(X)","(X)","","492,481","33.4%","34.5%","16.4%","8.3%","4.8%","2.6%","","492,481","58.2%","29.4%","10.9%","1.5%","","492,481","37.4%","1.0%","9.3%","49.3%","0.0%","0.0%","0.0%","1.1%","1.7%","","492,481","0.4%","0.5%","2.6%","","492,481","88.7%","7.2%","4.1%","","89,396","14.2%","5.1%","4.3%","4.8%","8.9%","42.7%","18.5%","1.5%","(X)","","89,396","60.3%","39.7%","","53,917","1.3%","2.0%","2.8%","5.7%","11.2%","15.3%","61.7%","(X)","35,479","24.1%","5.2%","4.5%","1.7%","64.6%","(X)","","53,754","28.7%","10.6%","8.8%","8.4%","43.6%","(X)","35,105","47.7%","12.2%","9.4%","7.0%","6.1%","3.5%","14.1%","(X)","","392,486","1.6%","6.9%","8.5%","8.4%","16.8%","42.4%","15.4%","(X)","(X)","","384,191","8.7%","9.0%","9.3%","10.8%","10.5%","51.7%","(X)"
"    Percent Margin of Error","","(X)","±0.6","±0.6","(X)","(X)","","(X)","±0.4","±0.4","±0.6","±0.6","±0.3","±0.5","±0.9","±0.1","±0.2","","(X)","±0.2","±0.4","±0.4","±0.3","±0.7","±0.9","±0.8","±0.8","±1.1","","(X)","±0.4","±0.3","±1.0","±1.0","±1.0","±0.5","±0.3","±0.2","±0.2","(X)","","(X)","±0.5","±1.0","±0.9","±0.9","±0.4","±0.3","","(X)","±0.8","±0.8","(X)","(X)","","(X)","±1.0","±1.1","±0.9","±0.7","±0.4","±0.3","","(X)","±0.9","±0.8","±0.8","±0.2","","(X)","±1.1","±0.2","±0.7","±1.1","±0.1","±0.1","±0.1","±0.2","±0.3","","(X)","±0.1","±0.2","±0.4","","(X)","±0.7","±0.6","±0.4","","(X)","±2.2","±1.3","±1.0","±1.0","±1.4","±2.3","±1.9","±0.5","(X)","","(X)","±2.3","±2.3","","(X)","±1.4","±0.8","±1.2","±1.3","±1.9","±2.2","±3.1","(X)","(X)","±3.5","±1.4","±1.7","±0.7","±4.0","(X)","","(X)","±2.7","±1.8","±1.7","±2.0","±3.1","(X)","(X)","±4.0","±2.3","±2.0","±2.0","±2.3","±1.2","±2.6","(X)","","(X)","±0.4","±0.6","±0.7","±0.7","±1.1","±1.3","±0.9","(X)","(X)","","(X)","±0.8","±0.8","±0.8","±0.8","±0.9","±1.4","(X)"
"Brooklyn borough, Kings County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,022,569","942,402","80,167","1.7","3.1","","1,022,569","51,374","83,774","182,291","183,753","113,085","59,295","346,708","1,807","482","","1,022,569","12,171","57,059","26,834","32,663","53,622","126,589","106,148","92,212","515,271","","1,022,569","59,066","52,336","249,561","293,719","175,126","94,277","34,277","22,762","41,445","4.0","","1,022,569","64,078","298,359","353,097","221,312","53,216","32,507","","942,402","268,400","674,002","3.05","2.61","","942,402","334,081","295,949","150,347","81,128","46,257","34,640","","942,402","535,358","314,772","78,250","14,022","","942,402","727,967","16,231","60,691","111,909","315","333","348","9,682","14,926","","942,402","5,082","7,183","19,430","","942,402","840,386","64,163","37,853","","268,400","10,333","4,221","5,171","6,255","16,599","69,811","111,973","44,037","574,800","","268,400","168,041","100,359","","168,041","361","1,308","2,561","5,959","14,977","23,561","119,314","2,597","100,359","6,120","3,475","3,443","4,637","82,684","797","","167,135","46,571","17,961","14,637","13,525","74,441","906","98,783","32,746","16,286","11,408","7,358","4,994","4,098","21,893","1,576","","654,875","8,554","31,432","36,851","51,504","79,963","234,826","211,745","1,246","19,127","","639,981","71,729","64,933","70,956","69,574","56,759","306,030","34,021"
"    Margin of Error","","±1,598","±4,290","±3,762","±0.4","±0.3","","±1,598","±3,155","±3,834","±6,191","±5,585","±4,812","±3,522","±7,014","±796","±323","","±1,598","±1,556","±3,572","±2,585","±2,461","±3,573","±4,262","±5,011","±4,783","±7,225","","±1,598","±3,696","±2,948","±5,856","±5,777","±4,637","±4,641","±2,187","±1,933","±2,464","±0.1","","±1,598","±3,601","±6,771","±6,753","±5,561","±2,903","±2,283","","±4,290","±5,904","±6,642","±0.04","±0.02","","±4,290","±6,436","±5,560","±4,426","±3,547","±3,124","±2,489","","±4,290","±6,735","±7,024","±3,691","±1,286","","±4,290","±6,384","±1,405","±3,459","±4,187","±191","±269","±192","±1,271","±1,702","","±4,290","±1,065","±1,184","±2,091","","±4,290","±5,854","±3,380","±3,158","","±5,904","±1,364","±739","±925","±1,015","±1,695","±3,384","±4,179","±2,519","±9,859","","±5,904","±5,138","±3,748","","±5,138","±225","±460","±616","±1,025","±1,647","±1,794","±4,502","±48","±3,748","±1,096","±795","±818","±1,019","±3,170","±19","","±5,077","±2,153","±1,593","±1,600","±1,639","±3,920","±415","±3,724","±2,315","±1,520","±1,266","±1,171","±805","±788","±1,932","±499","","±6,619","±1,714","±2,962","±3,252","±3,643","±3,944","±5,684","±5,839","±12","±2,087","","±6,559","±4,633","±3,770","±4,049","±4,494","±3,412","±5,968","±2,824"
"    Percent","","1,022,569","92.2%","7.8%","(X)","(X)","","1,022,569","5.0%","8.2%","17.8%","18.0%","11.1%","5.8%","33.9%","0.2%","0.0%","","1,022,569","1.2%","5.6%","2.6%","3.2%","5.2%","12.4%","10.4%","9.0%","50.4%","","1,022,569","5.8%","5.1%","24.4%","28.7%","17.1%","9.2%","3.4%","2.2%","4.1%","(X)","","1,022,569","6.3%","29.2%","34.5%","21.6%","5.2%","3.2%","","942,402","28.5%","71.5%","(X)","(X)","","942,402","35.4%","31.4%","16.0%","8.6%","4.9%","3.7%","","942,402","56.8%","33.4%","8.3%","1.5%","","942,402","77.2%","1.7%","6.4%","11.9%","0.0%","0.0%","0.0%","1.0%","1.6%","","942,402","0.5%","0.8%","2.1%","","942,402","89.2%","6.8%","4.0%","","268,400","3.8%","1.6%","1.9%","2.3%","6.2%","26.0%","41.7%","16.4%","(X)","","268,400","62.6%","37.4%","","168,041","0.2%","0.8%","1.5%","3.5%","8.9%","14.0%","71.0%","(X)","100,359","6.1%","3.5%","3.4%","4.6%","82.4%","(X)","","167,135","27.9%","10.7%","8.8%","8.1%","44.5%","(X)","98,783","33.1%","16.5%","11.5%","7.4%","5.1%","4.1%","22.2%","(X)","","654,875","1.3%","4.8%","5.6%","7.9%","12.2%","35.9%","32.3%","(X)","(X)","","639,981","11.2%","10.1%","11.1%","10.9%","8.9%","47.8%","(X)"
"    Percent Margin of Error","","(X)","±0.4","±0.4","(X)","(X)","","(X)","±0.3","±0.4","±0.6","±0.5","±0.5","±0.3","±0.7","±0.1","±0.1","","(X)","±0.2","±0.3","±0.3","±0.2","±0.3","±0.4","±0.5","±0.5","±0.7","","(X)","±0.4","±0.3","±0.6","±0.6","±0.5","±0.5","±0.2","±0.2","±0.2","(X)","","(X)","±0.4","±0.7","±0.7","±0.5","±0.3","±0.2","","(X)","±0.6","±0.6","(X)","(X)","","(X)","±0.6","±0.6","±0.5","±0.4","±0.3","±0.3","","(X)","±0.6","±0.7","±0.4","±0.1","","(X)","±0.6","±0.1","±0.4","±0.4","±0.1","±0.1","±0.1","±0.1","±0.2","","(X)","±0.1","±0.1","±0.2","","(X)","±0.5","±0.4","±0.3","","(X)","±0.5","±0.3","±0.3","±0.4","±0.6","±1.1","±1.3","±0.9","(X)","","(X)","±1.2","±1.2","","(X)","±0.1","±0.3","±0.4","±0.6","±0.9","±1.1","±1.2","(X)","(X)","±1.0","±0.8","±0.8","±1.0","±1.5","(X)","","(X)","±1.3","±0.9","±0.9","±1.0","±1.7","(X)","(X)","±1.8","±1.4","±1.2","±1.1","±0.8","±0.8","±1.8","(X)","","(X)","±0.3","±0.5","±0.5","±0.5","±0.6","±0.8","±0.8","(X)","(X)","","(X)","±0.7","±0.6","±0.6","±0.7","±0.5","±0.9","(X)"
"Manhattan borough, New York County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
