"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Occupied housing units","HOUSING OCCUPANCY!!Vacant housing units","HOUSING OCCUPANCY!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!1-unit, detached","UNITS IN STRUCTURE!!1-unit, attached","UNITS IN STRUCTURE!!2 units","UNITS IN STRUCTURE!!3 or 4 units","UNITS IN STRUCTURE!!5 to 9 units","UNITS IN STRUCTURE!!10 to 19 units","UNITS IN STRUCTURE!!20 or more units","UNITS IN STRUCTURE!!Mobile home","UNITS IN STRUCTURE!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Built 2010 or later","YEAR STRUCTURE BUILT!!Built 2000 to 2009","YEAR STRUCTURE BUILT!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!1 room","ROOMS!!2 rooms","ROOMS!!3 rooms","ROOMS!!4 rooms","ROOMS!!5 rooms","ROOMS!!6 rooms","ROOMS!!7 rooms","ROOMS!!8 rooms","ROOMS!!9 rooms or more","ROOMS!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!No bedroom","BEDROOMS!!1 bedroom","BEDROOMS!!2 bedrooms","BEDROOMS!!3 bedrooms","BEDROOMS!!4 bedrooms","BEDROOMS!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Owner-occupied","HOUSING TENURE!!Renter-occupied","HOUSING TENURE!!Average household size of owner-occupied unit","HOUSING TENURE!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!No vehicles available","VEHICLES AVAILABLE!!1 vehicle available","VEHICLES AVAILABLE!!2 vehicles available","VEHICLES AVAILABLE!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Utility gas","HOUSE HEATING FUEL!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Electricity","HOUSE HEATING FUEL!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Coal or coke","HOUSE HEATING FUEL!!Wood","HOUSE HEATING FUEL!!Solar energy","HOUSE HEATING FUEL!!Other fuel","HOUSE HEATING FUEL!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!1.00 or less","OCCUPANTS PER ROOM!!1.01 to 1.50","OCCUPANTS PER ROOM!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Less than $50,000","VALUE!!$50,000 to $99,999","VALUE!!$100,000 to $149,999","VALUE!!$150,000 to $199,999","VALUE!!$200,000 to $299,999","VALUE!!$300,000 to $499,999","VALUE!!$500,000 to $999,999","VALUE!!$1,000,000 or more","VALUE!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Housing units with a mortgage","MORTGAGE STATUS!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Less than $300","SELECTED MONTHLY OWNER COSTS (SMOC)!!$300 to $499","SELECTED MONTHLY OWNER COSTS (SMOC)!!$500 to $699","SELECTED MONTHLY OWNER COSTS (SMOC)!!$700 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!$2,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Less than $100","SELECTED MONTHLY OWNER COSTS (SMOC)!!$100 to $199","SELECTED MONTHLY OWNER COSTS (SMOC)!!$200 to $299","SELECTED MONTHLY OWNER COSTS (SMOC)!!$300 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!$400 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Less than $200","GROSS RENT!!$200 to $299","GROSS RENT!!$300 to $499","GROSS RENT!!$500 to $749","GROSS RENT!!$750 to $999","GROSS RENT!!$1,000 to $1,499","GROSS RENT!!$1,500 or more","GROSS RENT!!Median (dollars)","GROSS RENT!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Not computed"
"Bronx borough, Bronx County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","514,051","475,978","38,073","2.3","3.1","","514,051","30,361","26,607","44,108","45,542","18,400","24,740","323,481","615","197","","514,051","3,185","30,753","19,234","18,824","40,597","65,288","69,638","50,525","216,007","","514,051","30,392","15,125","139,587","160,094","101,678","37,809","13,181","6,941","9,244","3.9","","514,051","32,864","166,715","176,055","113,014","16,959","8,444","","475,978","91,116","384,862","2.96","2.85","","475,978","107,789","199,547","82,730","42,223","29,761","13,928","","475,978","295,227","136,798","36,089","7,864","","475,978","176,225","6,071","40,309","242,480","97","509","106","4,457","5,724","","475,978","2,795","3,704","15,409","","475,978","418,828","36,922","20,228","","91,116","7,403","3,895","5,258","6,617","11,400","38,341","16,901","1,301","357,700","","91,116","57,741","33,375","","57,741","727","313","1,558","2,736","8,885","8,570","34,952","2,327","33,375","5,041","2,421","1,350","1,415","23,148","704","","57,565","14,116","6,941","6,322","5,093","25,093","176","32,851","12,484","4,554","3,184","2,045","2,261","1,654","6,669","524","","378,063","8,025","26,483","31,944","43,025","72,784","143,739","52,063","1,019","6,799","","370,186","35,354","36,693","32,090","38,332","37,964","189,753","14,676"
"    Margin of Error","","±1,413","±3,477","±3,063","±0.8","±0.5","","±1,413","±2,523","±2,546","±2,740","±3,259","±2,165","±2,593","±5,092","±413","±233","","±1,413","±669","±2,371","±2,135","±2,141","±2,742","±3,608","±3,564","±3,146","±4,912","","±1,413","±2,822","±1,498","±4,518","±4,704","±4,511","±3,489","±1,669","±1,280","±1,348","±0.2","","±1,413","±2,880","±4,577","±4,832","±4,155","±2,042","±1,333","","±3,477","±3,631","±4,220","±0.09","±0.03","","±3,477","±4,298","±5,505","±4,466","±2,719","±2,245","±1,464","","±3,477","±5,708","±4,989","±2,817","±1,273","","±3,477","±5,186","±851","±2,587","±5,126","±158","±371","±135","±1,156","±1,255","","±3,477","±1,076","±1,054","±1,563","","±3,477","±4,709","±2,896","±2,420","","±3,631","±1,303","±842","±1,153","±1,366","±1,590","±2,288","±1,987","±474","±11,102","","±3,631","±3,388","±2,193","","±3,388","±640","±222","±759","±794","±1,665","±1,098","±2,751","±94","±2,193","±1,053","±765","±470","±437","±1,857","±40","","±3,377","±1,642","±1,200","±1,140","±1,293","±2,441","±158","±2,208","±1,427","±908","±792","±642","±604","±514","±1,347","±368","","±4,479","±1,580","±2,326","±2,717","±3,317","±3,707","±5,066","±2,961","±12","±1,481","","±4,550","±3,161","±2,681","±2,110","±3,523","±3,193","±5,119","±2,091"
"    Percent","","514,051","92.6%","7.4%","(X)","(X)","","514,051","5.9%","5.2%","8.6%","8.9%","3.6%","4.8%","62.9%","0.1%","0.0%","","514,051","0.6%","6.0%","3.7%","3.7%","7.9%","12.7%","13.5%","9.8%","42.0%","","514,051","5.9%","2.9%","27.2%","31.1%","19.8%","7.4%","2.6%","1.4%","1.8%","(X)","","514,051","6.4%","32.4%","34.2%","22.0%","3.3%","1.6%","","475,978","19.1%","80.9%","(X)","(X)","","475,978","22.6%","41.9%","17.4%","8.9%","6.3%","2.9%","","475,978","62.0%","28.7%","7.6%","1.7%","","475,978","37.0%","1.3%","8.5%","50.9%","0.0%","0.1%","0.0%","0.9%","1.2%","","475,978","0.6%","0.8%","3.2%","","475,978","88.0%","7.8%","4.2%","","91,116","8.1%","4.3%","5.8%","7.3%","12.5%","42.1%","18.5%","1.4%","(X)","","91,116","63.4%","36.6%","","57,741","1.3%","0.5%","2.7%","4.7%","15.4%","14.8%","60.5%","(X)","33,375","15.1%","7.3%","4.0%","4.2%","69.4%","(X)","","57,565","24.5%","12.1%","11.0%","8.8%","43.6%","(X)","32,851","38.0%","13.9%","9.7%","6.2%","6.9%","5.0%","20.3%","(X)","","378,063","2.1%","7.0%","8.4%","11.4%","19.3%","38.0%","13.8%","(X)","(X)","","370,186","9.6%","9.9%","8.7%","10.4%","10.3%","51.3%","(X)"
"    Percent Margin of Error","","(X)","±0.6","±0.6","(X)","(X)","","(X)","±0.5","±0.5","±0.5","±0.6","±0.4","±0.5","±1.0","±0.1","±0.1","","(X)","±0.1","±0.5","±0.4","±0.4","±0.5","±0.7","±0.7","±0.6","±1.0","","(X)","±0.5","±0.3","±0.9","±0.9","±0.9","±0.7","±0.3","±0.2","±0.3","(X)","","(X)","±0.6","±0.9","±0.9","±0.8","±0.4","±0.3","","(X)","±0.7","±0.7","(X)","(X)","","(X)","±0.8","±1.1","±0.9","±0.6","±0.5","±0.3","","(X)","±1.1","±1.0","±0.6","±0.3","","(X)","±1.1","±0.2","±0.5","±1.0","±0.1","±0.1","±0.1","±0.2","±0.3","","(X)","±0.2","±0.2","±0.3","","(X)","±0.7","±0.6","±0.5","","(X)","±1.4","±0.9","±1.2","±1.5","±1.6","±2.3","±2.0","±0.5","(X)","","(X)","±2.2","±2.2","","(X)","±1.1","±0.4","±1.3","±1.3","±2.6","±1.9","±3.4","(X)","(X)","±3.1","±2.2","±1.4","±1.3","±3.1","(X)","","(X)","±2.6","±2.1","±1.8","±2.1","±3.4","(X)","(X)","±3.6","±2.8","±2.4","±1.9","±1.8","±1.6","±3.4","(X)","","(X)","±0.4","±0.6","±0.7","±0.9","±1.0","±1.2","±0.8","(X)","(X)","","(X)","±0.8","±0.7","±0.6","±0.9","±0.9","±1.3","(X)"
"Brooklyn borough, Kings County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,003,114","919,333","83,781","2.6","3.8","","1,003,114","57,037","83,462","177,076","178,535","110,230","54,347","341,046","1,041","340","","1,003,114","5,950","58,201","27,854","28,135","54,710","99,007","108,871","91,814","528,572","","1,003,114","58,675","47,225","247,283","290,006","174,261","89,780","35,391","21,621","38,872","4.0","","1,003,114","63,255","288,603","343,196","221,378","56,079","30,603","","919,333","273,302","646,031","3.03","2.63","","919,333","219,328","364,484","161,907","84,584","51,301","37,729","","919,333","523,480","310,300","71,266","14,287","","919,333","691,290","13,560","57,345","139,192","576","755","62","7,909","8,644","","919,333","3,193","6,841","24,574","","919,333","819,127","65,181","35,025","","273,302","6,719","6,845","5,208","6,717","19,828","78,641","120,881","28,463","537,500","","273,302","172,718","100,584","","172,718","299","897","2,076","7,966","17,088","24,911","119,481","2,510","100,584","4,028","1,832","3,920","4,644","86,160","789","","171,617","38,304","19,838","16,457","14,695","82,323","1,101","99,134","27,146","15,351","11,968","8,588","5,538","5,463","25,080","1,450","","627,263","7,923","33,617","35,960","56,752","96,663","240,874","155,474","1,151","18,768","","608,898","68,256","64,318","69,573","72,166","56,163","278,422","37,133"
"    Margin of Error","","±1,441","±4,390","±4,248","±0.5","±0.4","","±1,441","±2,730","±3,404","±5,689","±5,109","±4,131","±3,212","±6,389","±401","±286","","±1,441","±929","±3,257","±2,145","±2,282","±2,988","±4,346","±3,654","±4,578","±6,120","","±1,441","±3,677","±2,941","±6,946","±7,165","±5,434","±3,795","±2,575","±1,733","±2,374","±0.1","","±1,441","±3,871","±7,085","±7,065","±6,034","±3,382","±1,859","","±4,390","±5,541","±6,754","±0.05","±0.02","","±4,390","±6,092","±6,586","±5,224","±4,127","±3,014","±2,258","","±4,390","±6,871","±6,512","±3,010","±1,349","","±4,390","±6,395","±1,305","±3,271","±5,074","±288","±392","±76","±1,447","±1,139","","±4,390","±772","±1,026","±2,145","","±4,390","±6,265","±3,585","±2,860","","±5,541","±1,370","±1,004","±902","±1,054","±1,957","±3,632","±4,253","±2,035","±10,249","","±5,541","±4,116","±3,982","","±4,116","±277","±415","±615","±1,325","±1,572","±2,131","±3,723","±51","±3,982","±771","±513","±1,010","±809","±3,613","±16","","±4,168","±2,090","±1,735","±1,548","±1,954","±3,435","±506","±3,961","±1,906","±1,671","±1,196","±1,311","±798","±925","±1,967","±549","","±6,976","±1,265","±2,405","±2,949","±3,412","±3,912","±6,255","±4,773","±8","±2,065","","±6,778","±3,493","±4,604","±4,081","±3,255","±3,510","±6,754","±3,020"
"    Percent","","1,003,114","91.6%","8.4%","(X)","(X)","","1,003,114","5.7%","8.3%","17.7%","17.8%","11.0%","5.4%","34.0%","0.1%","0.0%","","1,003,114","0.6%","5.8%","2.8%","2.8%","5.5%","9.9%","10.9%","9.2%","52.7%","","1,003,114","5.8%","4.7%","24.7%","28.9%","17.4%","9.0%","3.5%","2.2%","3.9%","(X)","","1,003,114","6.3%","28.8%","34.2%","22.1%","5.6%","3.1%","","919,333","29.7%","70.3%","(X)","(X)","","919,333","23.9%","39.6%","17.6%","9.2%","5.6%","4.1%","","919,333","56.9%","33.8%","7.8%","1.6%","","919,333","75.2%","1.5%","6.2%","15.1%","0.1%","0.1%","0.0%","0.9%","0.9%","","919,333","0.3%","0.7%","2.7%","","919,333","89.1%","7.1%","3.8%","","273,302","2.5%","2.5%","1.9%","2.5%","7.3%","28.8%","44.2%","10.4%","(X)","","273,302","63.2%","36.8%","","172,718","0.2%","0.5%","1.2%","4.6%","9.9%","14.4%","69.2%","(X)","100,584","4.0%","1.8%","3.9%","4.6%","85.7%","(X)","","171,617","22.3%","11.6%","9.6%","8.6%","48.0%","(X)","99,134","27.4%","15.5%","12.1%","8.7%","5.6%","5.5%","25.3%","(X)","","627,263","1.3%","5.4%","5.7%","9.0%","15.4%","38.4%","24.8%","(X)","(X)","","608,898","11.2%","10.6%","11.4%","11.9%","9.2%","45.7%","(X)"
"    Percent Margin of Error","","(X)","±0.4","±0.4","(X)","(X)","","(X)","±0.3","±0.3","±0.6","±0.5","±0.4","±0.3","±0.6","±0.1","±0.1","","(X)","±0.1","±0.3","±0.2","±0.2","±0.3","±0.4","±0.4","±0.5","±0.6","","(X)","±0.4","±0.3","±0.7","±0.7","±0.5","±0.4","±0.3","±0.2","±0.2","(X)","","(X)","±0.4","±0.7","±0.7","±0.6","±0.3","±0.2","","(X)","±0.6","±0.6","(X)","(X)","","(X)","±0.7","±0.7","±0.6","±0.4","±0.3","±0.2","","(X)","±0.7","±0.7","±0.3","±0.1","","(X)","±0.6","±0.1","±0.4","±0.5","±0.1","±0.1","±0.1","±0.2","±0.1","","(X)","±0.1","±0.1","±0.2","","(X)","±0.5","±0.4","±0.3","","(X)","±0.5","±0.4","±0.3","±0.4","±0.7","±1.1","±1.3","±0.7","(X)","","(X)","±1.1","±1.1","","(X)","±0.2","±0.2","±0.4","±0.7","±0.8","±1.2","±1.5","(X)","(X)","±0.8","±0.5","±1.0","±0.8","±1.4","(X)","","(X)","±1.1","±1.0","±0.9","±1.1","±1.6","(X)","(X)","±1.7","±1.5","±1.1","±1.3","±0.8","±0.9","±1.5","(X)","","(X)","±0.2","±0.4","±0.5","±0.5","±0.6","±0.9","±0.7","(X)","(X)","","(X)","±0.6","±0.7","±0.6","±0.5","±0.6","±1.0","(X)"
