"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Occupied housing units","HOUSING OCCUPANCY!!Vacant housing units","HOUSING OCCUPANCY!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!1-unit, detached","UNITS IN STRUCTURE!!1-unit, attached","UNITS IN STRUCTURE!!2 units","UNITS IN STRUCTURE!!3 or 4 units","UNITS IN STRUCTURE!!5 to 9 units","UNITS IN STRUCTURE!!10 to 19 units","UNITS IN STRUCTURE!!20 or more units","UNITS IN STRUCTURE!!Mobile home","UNITS IN STRUCTURE!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Built 2005 or later","YEAR STRUCTURE BUILT!!Built 2000 to 2004","YEAR STRUCTURE BUILT!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!1 room","ROOMS!!2 rooms","ROOMS!!3 rooms","ROOMS!!4 rooms","ROOMS!!5 rooms","ROOMS!!6 rooms","ROOMS!!7 rooms","ROOMS!!8 rooms","ROOMS!!9 rooms or more","ROOMS!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!No bedroom","BEDROOMS!!1 bedroom","BEDROOMS!!2 bedrooms","BEDROOMS!!3 bedrooms","BEDROOMS!!4 bedrooms","BEDROOMS!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Owner-occupied","HOUSING TENURE!!Renter-occupied","HOUSING TENURE!!Average household size of owner-occupied unit","HOUSING TENURE!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2005 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2004","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!No vehicles available","VEHICLES AVAILABLE!!1 vehicle available","VEHICLES AVAILABLE!!2 vehicles available","VEHICLES AVAILABLE!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Utility gas","HOUSE HEATING FUEL!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Electricity","HOUSE HEATING FUEL!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Coal or coke","HOUSE HEATING FUEL!!Wood","HOUSE HEATING FUEL!!Solar energy","HOUSE HEATING FUEL!!Other fuel","HOUSE HEATING FUEL!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!1.00 or less","OCCUPANTS PER ROOM!!1.01 to 1.50","OCCUPANTS PER ROOM!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Less than $50,000","VALUE!!$50,000 to $99,999","VALUE!!$100,000 to $149,999","VALUE!!$150,000 to $199,999","VALUE!!$200,000 to $299,999","VALUE!!$300,000 to $499,999","VALUE!!$500,000 to $999,999","VALUE!!$1,000,000 or more","VALUE!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Housing units with a mortgage","MORTGAGE STATUS!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Less than $300","SELECTED MONTHLY OWNER COSTS (SMOC)!!$300 to $499","SELECTED MONTHLY OWNER COSTS (SMOC)!!$500 to $699","SELECTED MONTHLY OWNER COSTS (SMOC)!!$700 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!$2,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Less than $100","SELECTED MONTHLY OWNER COSTS (SMOC)!!$100 to $199","SELECTED MONTHLY OWNER COSTS (SMOC)!!$200 to $299","SELECTED MONTHLY OWNER COSTS (SMOC)!!$300 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!$400 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Less than $200","GROSS RENT!!$200 to $299","GROSS RENT!!$300 to $499","GROSS RENT!!$500 to $749","GROSS RENT!!$750 to $999","GROSS RENT!!$1,000 to $1,499","GROSS RENT!!$1,500 or more","GROSS RENT!!Median (dollars)","GROSS RENT!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Not computed"
"Bronx borough, Bronx County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","512,024","471,912","40,112","2.8","4.1","","512,024","28,956","20,205","46,518","51,210","20,503","27,350","316,270","367","645","","512,024","18,200","15,126","17,856","17,744","40,827","75,758","85,650","53,586","187,277","","512,024","24,251","14,502","155,923","152,272","96,979","38,867","11,336","6,896","10,998","3.9","","512,024","25,738","174,615","174,098","109,767","18,088","9,718","","471,912","88,493","383,419","2.90","2.83","","471,912","196,865","84,208","99,398","41,037","31,913","18,491","","471,912","285,482","138,873","39,632","7,925","","471,912","149,081","5,073","37,167","269,083","961","249","57","5,006","5,235","","471,912","5,262","5,231","18,138","","471,912","413,758","37,160","20,994","","88,493","5,474","4,314","4,632","4,198","8,078","41,981","18,415","1,401","388,900","","88,493","53,956","34,537","","53,956","856","660","1,534","3,100","9,204","7,395","31,207","2,299","34,537","3,992","1,639","1,604","1,593","25,709","704","","53,486","11,596","5,892","5,878","5,326","24,794","470","33,803","11,406","5,739","3,934","2,802","1,634","1,204","7,084","734","","375,931","7,875","24,261","33,200","48,924","83,717","135,893","42,061","974","7,488","","367,623","38,766","35,381","41,515","38,946","34,881","178,134","15,796"
"    Estimate Margin of Error","","±2,369","±4,085","±3,437","±0.9","±0.6","","±2,369","±2,370","±2,160","±3,710","±3,656","±2,034","±2,718","±4,969","±351","±447","","±2,369","±2,016","±1,842","±1,818","±1,780","±3,161","±4,055","±4,866","±3,281","±5,566","","±2,369","±2,932","±1,868","±4,926","±5,062","±5,125","±3,216","±1,522","±973","±1,491","±0.1","","±2,369","±3,046","±4,587","±5,500","±5,301","±2,360","±1,360","","±4,085","±3,779","±5,070","±0.08","±0.03","","±4,085","±6,092","±3,964","±4,370","±3,001","±2,687","±1,943","","±4,085","±5,577","±5,492","±3,663","±1,438","","±4,085","±5,747","±1,084","±2,800","±6,628","±565","±215","±94","±1,071","±1,012","","±4,085","±1,193","±1,151","±2,026","","±4,085","±5,170","±2,833","±2,093","","±3,779","±1,034","±1,248","±1,080","±1,058","±1,380","±2,813","±1,956","±667","±11,325","","±3,779","±3,343","±2,413","","±3,343","±575","±368","±641","±854","±1,467","±1,550","±2,823","±132","±2,413","±890","±644","±577","±531","±2,019","±32","","±3,302","±1,452","±1,151","±1,121","±1,398","±2,971","±353","±2,459","±1,417","±1,390","±996","±738","±586","±552","±1,183","±524","","±5,115","±1,468","±2,652","±3,190","±3,709","±4,120","±5,367","±3,830","±13","±1,428","","±4,932","±3,367","±2,770","±3,418","±3,188","±3,013","±5,296","±1,946"
"    Percent","","512,024","92.2%","7.8%","(X)","(X)","","512,024","5.7%","3.9%","9.1%","10.0%","4.0%","5.3%","61.8%","0.1%","0.1%","","512,024","3.6%","3.0%","3.5%","3.5%","8.0%","14.8%","16.7%","10.5%","36.6%","","512,024","4.7%","2.8%","30.5%","29.7%","18.9%","7.6%","2.2%","1.3%","2.1%","(X)","","512,024","5.0%","34.1%","34.0%","21.4%","3.5%","1.9%","","471,912","18.8%","81.2%","(X)","(X)","","471,912","41.7%","17.8%","21.1%","8.7%","6.8%","3.9%","","471,912","60.5%","29.4%","8.4%","1.7%","","471,912","31.6%","1.1%","7.9%","57.0%","0.2%","0.1%","0.0%","1.1%","1.1%","","471,912","1.1%","1.1%","3.8%","","471,912","87.7%","7.9%","4.4%","","88,493","6.2%","4.9%","5.2%","4.7%","9.1%","47.4%","20.8%","1.6%","(X)","","88,493","61.0%","39.0%","","53,956","1.6%","1.2%","2.8%","5.7%","17.1%","13.7%","57.8%","(X)","34,537","11.6%","4.7%","4.6%","4.6%","74.4%","(X)","","53,486","21.7%","11.0%","11.0%","10.0%","46.4%","(X)","33,803","33.7%","17.0%","11.6%","8.3%","4.8%","3.6%","21.0%","(X)","","375,931","2.1%","6.5%","8.8%","13.0%","22.3%","36.1%","11.2%","(X)","(X)","","367,623","10.5%","9.6%","11.3%","10.6%","9.5%","48.5%","(X)"
"    Percent Margin of Error","","(X)","±0.7","±0.7","(X)","(X)","","(X)","±0.5","±0.4","±0.7","±0.7","±0.4","±0.5","±0.9","±0.1","±0.1","","(X)","±0.4","±0.4","±0.4","±0.3","±0.6","±0.8","±0.9","±0.6","±1.1","","(X)","±0.6","±0.4","±1.0","±1.0","±1.0","±0.6","±0.3","±0.2","±0.3","(X)","","(X)","±0.6","±0.9","±1.1","±1.0","±0.5","±0.3","","(X)","±0.8","±0.8","(X)","(X)","","(X)","±1.2","±0.8","±0.9","±0.6","±0.6","±0.4","","(X)","±1.1","±1.1","±0.8","±0.3","","(X)","±1.2","±0.2","±0.6","±1.3","±0.1","±0.1","±0.1","±0.2","±0.2","","(X)","±0.3","±0.2","±0.4","","(X)","±0.7","±0.6","±0.4","","(X)","±1.1","±1.3","±1.2","±1.2","±1.5","±2.8","±2.2","±0.7","(X)","","(X)","±2.4","±2.4","","(X)","±1.1","±0.7","±1.1","±1.5","±2.6","±2.8","±3.7","(X)","(X)","±2.3","±1.8","±1.7","±1.5","±3.1","(X)","","(X)","±2.6","±2.3","±2.1","±2.4","±4.0","(X)","(X)","±3.6","±3.9","±2.7","±2.1","±1.8","±1.6","±3.0","(X)","","(X)","±0.4","±0.7","±0.9","±1.0","±1.1","±1.3","±1.0","(X)","(X)","","(X)","±0.9","±0.7","±0.9","±0.9","±0.8","±1.2","(X)"
"Brooklyn borough, Kings County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,000,000","905,317","94,683","2.7","4.9","","1,000,000","56,137","87,398","175,162","185,549","112,377","55,414","326,398","1,228","337","","1,000,000","27,342","32,522","28,629","24,338","52,796","109,175","115,649","92,970","516,579","","1,000,000","50,285","44,652","242,503","280,610","180,657","95,177","40,762","23,844","41,510","4.1","","1,000,000","54,447","286,251","349,044","220,486","55,736","34,036","","905,317","273,500","631,817","3.06","2.58","","905,317","368,790","161,819","183,790","86,208","63,871","40,839","","905,317","526,424","289,442","75,593","13,858","","905,317","665,473","16,398","47,916","159,259","591","1,268","77","7,146","7,189","","905,317","9,016","12,402","30,504","","905,317","805,170","66,843","33,304","","273,500","4,048","5,614","3,950","7,259","18,352","70,302","138,327","25,648","566,700","","273,500","182,472","91,028","","182,472","464","1,447","2,648","8,196","23,736","26,880","119,101","2,420","91,028","2,755","1,939","4,100","3,518","78,716","780","","180,694","41,209","20,566","18,885","16,508","83,526","1,778","90,089","22,813","13,668","11,421","8,454","6,493","4,316","22,924","939","","616,084","10,813","33,009","38,299","70,286","111,964","226,048","125,665","1,079","15,733","","596,741","73,100","63,774","68,844","61,347","56,687","272,989","35,076"
"    Estimate Margin of Error","","±2,584","±5,879","±5,327","±0.6","±0.5","","±2,584","±3,417","±4,370","±5,187","±5,473","±4,892","±3,708","±6,678","±554","±275","","±2,584","±2,600","±2,514","±2,464","±2,094","±3,450","±4,841","±4,759","±3,880","±7,943","","±2,584","±3,843","±2,908","±7,790","±7,835","±6,205","±4,308","±3,484","±2,327","±2,804","±0.1","","±2,584","±3,903","±7,332","±7,736","±6,531","±3,774","±2,863","","±5,879","±6,886","±7,694","±0.04","±0.02","","±5,879","±7,676","±6,018","±6,691","±4,154","±3,617","±2,760","","±5,879","±6,781","±6,363","±4,203","±1,664","","±5,879","±8,220","±1,815","±2,723","±5,906","±454","±539","±91","±917","±1,054","","±5,879","±1,451","±1,962","±3,022","","±5,879","±7,371","±3,512","±2,763","","±6,886","±889","±996","±1,031","±1,308","±1,924","±3,848","±5,176","±2,171","±7,643","","±6,886","±6,046","±3,893","","±6,046","±314","±558","±799","±1,506","±2,354","±2,478","±4,065","±46","±3,893","±607","±537","±980","±868","±3,906","±18","","±6,016","±3,106","±1,794","±2,316","±1,859","±4,022","±698","±3,858","±1,944","±1,958","±1,674","±1,499","±1,206","±827","±2,336","±421","","±7,839","±1,942","±2,966","±2,730","±3,968","±5,404","±6,875","±5,243","±12","±2,088","","±7,579","±4,252","±3,256","±3,762","±4,224","±3,885","±7,518","±2,929"
"    Percent","","1,000,000","90.5%","9.5%","(X)","(X)","","1,000,000","5.6%","8.7%","17.5%","18.6%","11.2%","5.5%","32.6%","0.1%","0.0%","","1,000,000","2.7%","3.3%","2.9%","2.4%","5.3%","10.9%","11.6%","9.3%","51.7%","","1,000,000","5.0%","4.5%","24.3%","28.1%","18.1%","9.5%","4.1%","2.4%","4.2%","(X)","","1,000,000","5.4%","28.6%","34.9%","22.0%","5.6%","3.4%","","905,317","30.2%","69.8%","(X)","(X)","","905,317","40.7%","17.9%","20.3%","9.5%","7.1%","4.5%","","905,317","58.1%","32.0%","8.3%","1.5%","","905,317","73.5%","1.8%","5.3%","17.6%","0.1%","0.1%","0.0%","0.8%","0.8%","","905,317","1.0%","1.4%","3.4%","","905,317","88.9%","7.4%","3.7%","","273,500","1.5%","2.1%","1.4%","2.7%","6.7%","25.7%","50.6%","9.4%","(X)","","273,500","66.7%","33.3%","","182,472","0.3%","0.8%","1.5%","4.5%","13.0%","14.7%","65.3%","(X)","91,028","3.0%","2.1%","4.5%","3.9%","86.5%","(X)","","180,694","22.8%","11.4%","10.5%","9.1%","46.2%","(X)","90,089","25.3%","15.2%","12.7%","9.4%","7.2%","4.8%","25.4%","(X)","","616,084","1.8%","5.4%","6.2%","11.4%","18.2%","36.7%","20.4%","(X)","(X)","","596,741","12.2%","10.7%","11.5%","10.3%","9.5%","45.7%","(X)"
"    Percent Margin of Error","","(X)","±0.5","±0.5","(X)","(X)","","(X)","±0.3","±0.4","±0.5","±0.5","±0.5","±0.4","±0.7","±0.1","±0.1","","(X)","±0.3","±0.3","±0.2","±0.2","±0.3","±0.5","±0.5","±0.4","±0.8","","(X)","±0.4","±0.3","±0.8","±0.8","±0.6","±0.4","±0.3","±0.2","±0.3","(X)","","(X)","±0.4","±0.7","±0.8","±0.7","±0.4","±0.3","","(X)","±0.7","±0.7","(X)","(X)","","(X)","±0.8","±0.6","±0.7","±0.5","±0.4","±0.3","","(X)","±0.6","±0.7","±0.5","±0.2","","(X)","±0.7","±0.2","±0.3","±0.7","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.2","±0.2","±0.3","","(X)","±0.5","±0.4","±0.3","","(X)","±0.3","±0.4","±0.4","±0.5","±0.7","±1.2","±1.4","±0.8","(X)","","(X)","±1.3","±1.3","","(X)","±0.2","±0.3","±0.4","±0.8","±1.2","±1.2","±1.4","(X)","(X)","±0.7","±0.6","±1.1","±1.0","±1.7","(X)","","(X)","±1.4","±0.9","±1.3","±1.0","±1.6","(X)","(X)","±2.0","±2.0","±1.8","±1.6","±1.3","±0.9","±2.3","(X)","","(X)","±0.3","±0.5","±0.4","±0.7","±0.9","±0.9","±0.8","(X)","(X)","","(X)","±0.7","±0.5","±0.6","±0.7","±0.6","±1.0","(X)"
