year,borough,zipcode,airbnb_count,rental_count,home_count,rent_avg,house_avg
2015,BRONX,10457,51,10,12,1301.13,324363.9166666667
2015,BRONX,10458,41,10,12,1412.1899999999998,284365.8333333333
2015,BRONX,10461,49,10,12,1320.46,409960.1666666667
2015,BRONX,10462,42,10,12,1372.0099999999998,124176.0
2015,BRONX,10463,48,10,12,2072.79,333158.6666666667
2015,BRONX,10467,70,10,12,1358.46,286850.5
2015,BROOKLYN,11201,343,10,12,3227.8700000000003,1324822.3333333333
2015,BROOKLYN,11205,473,10,12,2496.5199999999995,734294.4166666666
2015,BROOKLYN,11206,724,10,12,2915.6600000000003,859455.8333333334
2015,BROOKLYN,11207,200,10,12,2117.9100000000003,357808.6666666667
2015,BROOKLYN,11209,79,10,12,1740.9399999999998,721519.6666666666
2015,BROOKLYN,11211,1858,10,12,3234.86,1009364.3333333334
2015,BROOKLYN,11213,466,10,12,2036.38,808794.4166666666
2015,BROOKLYN,11214,58,10,12,1599.84,538540.1666666666
2015,BROOKLYN,11215,437,10,12,2688.77,1399352.75
2015,BROOKLYN,11216,949,10,12,2320.38,941515.0
2015,BROOKLYN,11217,399,10,12,2945.04,1443722.9166666667
2015,BROOKLYN,11218,177,10,12,2188.31,723225.75
2015,BROOKLYN,11220,160,10,12,1813.26,595905.3333333334
2015,BROOKLYN,11221,1007,10,12,2286.7200000000003,819887.5
2015,BROOKLYN,11222,648,10,12,2770.21,971202.5
2015,BROOKLYN,11223,80,9,12,1549.5444444444445,722070.75
2015,BROOKLYN,11225,448,10,12,2117.85,1036868.3333333334
2015,BROOKLYN,11226,418,10,12,1974.18,641336.1666666666
2015,BROOKLYN,11228,27,10,12,1349.9199999999998,804904.0
2015,BROOKLYN,11229,55,10,12,1705.45,545587.6666666666
2015,BROOKLYN,11230,63,10,12,1848.8,836698.0
2015,BROOKLYN,11231,138,10,12,2825.04,1335947.8333333333
2015,BROOKLYN,11233,943,10,12,2118.37,610939.25
2015,BROOKLYN,11235,118,10,12,1789.57,484378.3333333333
2015,BROOKLYN,11237,1016,10,12,2496.2200000000003,661371.0
2015,BROOKLYN,11238,622,10,12,3063.53,1195940.4166666667
2015,MANHATTAN,10001,350,10,12,4010.0,2280604.0
2015,MANHATTAN,10002,337,10,12,2982.17,1006425.0
2015,MANHATTAN,10003,607,10,12,3257.43,1449640.4166666667
2015,MANHATTAN,10005,456,10,12,3588.99,1124187.9166666667
2015,MANHATTAN,10009,592,10,12,3152.19,1125703.5833333333
2015,MANHATTAN,10010,535,10,12,3595.13,1808973.8333333333
2015,MANHATTAN,10011,514,10,12,3613.18,2082922.8333333333
2015,MANHATTAN,10012,403,10,12,3222.57,2477989.833333333
2015,MANHATTAN,10013,983,10,12,4612.259999999999,3401886.4166666665
2015,MANHATTAN,10014,137,10,12,3502.4100000000003,2047521.3333333333
2015,MANHATTAN,10016,436,10,12,3569.09,1060130.0
2015,MANHATTAN,10017,415,10,12,3099.92,1001648.4166666666
2015,MANHATTAN,10018,1312,10,12,3638.65,1686661.0
2015,MANHATTAN,10019,363,10,12,3500.58,1384739.9166666667
2015,MANHATTAN,10021,309,10,12,2634.5,1349713.8333333333
2015,MANHATTAN,10022,240,10,12,3234.78,1466448.3333333333
2015,MANHATTAN,10023,461,10,12,3444.4,1306792.1666666667
2015,MANHATTAN,10024,710,10,12,3025.7,1471960.5833333333
2015,MANHATTAN,10026,414,10,12,2614.06,919022.3333333334
