zipcode,borough,year,count,home_value
10301,STATEN ISLAND,2019,212,
10301,STATEN ISLAND,2022,143,
10301,STATEN ISLAND,2021,126,
10301,STATEN ISLAND,2015,124,
10301,STATEN ISLAND,2016,118,
