zipcode,borough,year,count,home_value
11211,BROOKLYN,2022,2730,1150638.4
11211,BROOKLYN,2020,2719,1036530.25
11211,BROOKLYN,2019,6231,1023273.75
11211,BROOKLYN,2018,3227,997202.9166666666
11211,BROOKLYN,2017,2645,967886.0
