zipcode,borough,year,count,home_value
10469,BRONX,2022,122,592184.8
10466,BRONX,2022,119,560980.3
10466,BRONX,2021,99,528377.0833333334
10456,BRONX,2022,98,454902.9
10463,BRONX,2018,105,357383.4166666667
