zipcode,borough,year,count,home_value
10013,MANHATTAN,2019,1779,3310300.5
10024,MANHATTAN,2019,1721,1726462.0833333333
10018,MANHATTAN,2018,2485,1463682.25
10003,MANHATTAN,2017,2184,1402998.5
10009,MANHATTAN,2017,2593,1091941.3333333333
