zipcode,year,borough,home_value,count
10022,2015,MANHATTAN,1466448.3333333333,
10022,2016,MANHATTAN,1356859.9090909092,
10022,2017,MANHATTAN,1284408.5,
10022,2018,MANHATTAN,1318202.0,
10022,2019,MANHATTAN,1302252.8333333333,
10022,2020,MANHATTAN,1269762.6666666667,
10022,2021,MANHATTAN,1144579.3333333333,
10022,2022,MANHATTAN,1189999.6,
10023,2015,MANHATTAN,1306792.1666666667,
10023,2016,MANHATTAN,1376116.4166666667,
10023,2017,MANHATTAN,1406405.0833333333,
10023,2018,MANHATTAN,1488123.6666666667,
10023,2019,MANHATTAN,1403723.0833333333,
10023,2020,MANHATTAN,1454721.9166666667,
10023,2021,MANHATTAN,1448189.6666666667,
10023,2022,MANHATTAN,1536943.7,
10024,2015,MANHATTAN,1471960.5833333333,
10024,2016,MANHATTAN,1500554.9166666667,
10024,2017,MANHATTAN,1546713.4166666667,
10024,2018,MANHATTAN,1750179.9166666667,
10024,2020,MANHATTAN,1633054.6666666667,
10024,2021,MANHATTAN,1627470.75,
10024,2022,MANHATTAN,1737841.6,
10025,2015,MANHATTAN,962843.8333333334,
10025,2016,MANHATTAN,1019364.0,
10025,2017,MANHATTAN,1019131.75,
10025,2018,MANHATTAN,1036890.6666666666,
10025,2019,MANHATTAN,1065957.6666666667,
10025,2020,MANHATTAN,1030998.0,
10025,2021,MANHATTAN,1108021.3333333333,
10025,2022,MANHATTAN,1190312.2,
10026,2015,MANHATTAN,919022.3333333334,
10026,2016,MANHATTAN,977956.8333333334,
10026,2017,MANHATTAN,1001081.75,
10026,2018,MANHATTAN,1002733.6666666666,
10026,2019,MANHATTAN,972939.4166666666,
10026,2020,MANHATTAN,951243.25,
10026,2021,MANHATTAN,950124.75,
10026,2022,MANHATTAN,1009945.7,
10027,2015,MANHATTAN,908313.0833333334,
10027,2016,MANHATTAN,999008.6666666666,
10027,2017,MANHATTAN,1000663.4166666666,
10027,2018,MANHATTAN,978541.1666666666,
10027,2019,MANHATTAN,973867.5833333334,
10027,2020,MANHATTAN,860804.75,
10027,2021,MANHATTAN,861995.5,
10027,2022,MANHATTAN,909733.4,
10028,2015,MANHATTAN,1583822.0,
10028,2016,MANHATTAN,1566997.25,
10028,2017,MANHATTAN,1528383.8333333333,
10028,2018,MANHATTAN,1635218.25,
10028,2019,MANHATTAN,1572678.0,
10028,2020,MANHATTAN,1477434.0,
10028,2021,MANHATTAN,1409508.8333333333,
10028,2022,MANHATTAN,1515127.0,
10029,2015,MANHATTAN,860422.6666666666,
10029,2016,MANHATTAN,855316.0,
10029,2017,MANHATTAN,899730.0,
10029,2018,MANHATTAN,935123.5,
10029,2019,MANHATTAN,684806.0,
10029,2020,MANHATTAN,546641.0,
10029,2021,MANHATTAN,700709.0833333334,
10029,2022,MANHATTAN,801171.2,
10030,2015,MANHATTAN,719161.1666666666,
10030,2016,MANHATTAN,801139.5,
10030,2017,MANHATTAN,843828.6666666666,
10030,2018,MANHATTAN,870348.75,
10030,2019,MANHATTAN,871621.6666666666,
10030,2020,MANHATTAN,855222.75,
10030,2021,MANHATTAN,821686.8333333334,
10030,2022,MANHATTAN,868316.2,
10031,2015,MANHATTAN,685248.9166666666,
10031,2016,MANHATTAN,716766.4166666666,
10031,2017,MANHATTAN,726529.5833333334,
10031,2018,MANHATTAN,768459.3333333334,
10031,2019,MANHATTAN,728754.5833333334,
10031,2020,MANHATTAN,655639.25,
10031,2021,MANHATTAN,676006.25,
10031,2022,MANHATTAN,724138.8,
10032,2015,MANHATTAN,436993.4166666667,
10032,2016,MANHATTAN,445350.75,
10032,2017,MANHATTAN,462878.5833333333,
10032,2018,MANHATTAN,518966.75,
10032,2019,MANHATTAN,581325.9166666666,
10032,2020,MANHATTAN,520918.6666666667,
10032,2021,MANHATTAN,621062.0833333334,
10032,2022,MANHATTAN,661736.2,
10033,2015,MANHATTAN,564003.75,
10033,2016,MANHATTAN,609010.75,
10033,2017,MANHATTAN,622307.1666666666,
10033,2018,MANHATTAN,658638.75,
10033,2019,MANHATTAN,646203.75,
10033,2020,MANHATTAN,582700.4166666666,
10033,2021,MANHATTAN,608596.5,
10033,2022,MANHATTAN,635817.9,
10034,2015,MANHATTAN,386398.0833333333,
10034,2016,MANHATTAN,434167.4166666667,
10034,2017,MANHATTAN,465052.9166666667,
10034,2018,MANHATTAN,464972.75,
10034,2019,MANHATTAN,485960.6666666667,
10034,2020,MANHATTAN,436680.4166666667,
10034,2021,MANHATTAN,448655.25,
10034,2022,MANHATTAN,491804.9,
10035,2015,MANHATTAN,861841.4166666666,
10035,2016,MANHATTAN,850324.25,
10035,2017,MANHATTAN,895862.25,
10035,2018,MANHATTAN,898639.75,
10035,2019,MANHATTAN,803571.1666666666,
10035,2020,MANHATTAN,777439.9166666666,
10035,2021,MANHATTAN,732842.25,
10035,2022,MANHATTAN,772017.7,
10036,2015,MANHATTAN,1148425.6666666667,
10036,2016,MANHATTAN,1179763.0,
10036,2017,MANHATTAN,1197533.6666666667,
10036,2018,MANHATTAN,1172142.6666666667,
10036,2019,MANHATTAN,1115636.25,
10036,2020,MANHATTAN,1070235.6666666667,
10036,2021,MANHATTAN,1050596.8333333333,
10036,2022,MANHATTAN,1120473.2,
10037,2019,MANHATTAN,464354.5,
10037,2020,MANHATTAN,486854.6666666667,
10037,2021,MANHATTAN,517288.25,
10037,2022,MANHATTAN,554257.0,
10038,2015,MANHATTAN,1223391.25,
10038,2016,MANHATTAN,1287911.4166666667,
10038,2017,MANHATTAN,1275559.8333333333,
10038,2018,MANHATTAN,1342187.75,
10038,2019,MANHATTAN,1376938.4166666667,
10038,2020,MANHATTAN,1078700.25,
10038,2021,MANHATTAN,993084.6666666666,
10038,2022,MANHATTAN,1047757.6,
10039,2015,MANHATTAN,765437.0833333334,
10039,2016,MANHATTAN,829640.8333333334,
10039,2017,MANHATTAN,882998.8333333334,
10039,2018,MANHATTAN,872841.0833333334,
10039,2019,MANHATTAN,846563.6666666666,
10039,2020,MANHATTAN,614849.5,
10039,2021,MANHATTAN,668714.6666666666,
10039,2022,MANHATTAN,698445.9,
10040,2015,MANHATTAN,530894.6666666666,
10040,2016,MANHATTAN,605967.8333333334,
10040,2017,MANHATTAN,593367.9166666666,
10040,2018,MANHATTAN,567769.75,
