zipcode,year,borough,home_value,count
10301,2017,STATEN_ISLAND,527412.8333333334,
10301,2018,STATEN_ISLAND,577325.4166666666,
10301,2020,STATEN_ISLAND,579736.6666666666,
10302,2015,STATEN_ISLAND,349549.1666666667,
10302,2016,STATEN_ISLAND,381307.3333333333,
10302,2017,STATEN_ISLAND,427843.25,
10302,2018,STATEN_ISLAND,462452.0833333333,
10302,2019,STATEN_ISLAND,471556.1666666667,
10302,2020,STATEN_ISLAND,467580.75,
10302,2021,STATEN_ISLAND,493670.0833333333,
10302,2022,STATEN_ISLAND,550315.6,
10303,2015,STATEN_ISLAND,284465.0833333333,
10303,2016,STATEN_ISLAND,310624.5,
10303,2017,STATEN_ISLAND,346152.4166666667,
10303,2018,STATEN_ISLAND,385389.5,
10303,2019,STATEN_ISLAND,394470.0833333333,
10303,2020,STATEN_ISLAND,395288.1666666667,
10303,2021,STATEN_ISLAND,429377.25,
10303,2022,STATEN_ISLAND,476213.6,
10304,2015,STATEN_ISLAND,403570.75,
10304,2016,STATEN_ISLAND,439513.25,
10304,2017,STATEN_ISLAND,487763.1666666667,
10304,2018,STATEN_ISLAND,543976.9166666666,
10304,2019,STATEN_ISLAND,553915.4166666666,
10304,2020,STATEN_ISLAND,549567.5,
10304,2021,STATEN_ISLAND,582417.1666666666,
10304,2022,STATEN_ISLAND,637631.5,
10305,2015,STATEN_ISLAND,410042.25,
10305,2016,STATEN_ISLAND,442653.75,
10305,2017,STATEN_ISLAND,490300.25,
10305,2018,STATEN_ISLAND,549745.4166666666,
10305,2019,STATEN_ISLAND,561648.9166666666,
10305,2020,STATEN_ISLAND,554862.75,
10305,2021,STATEN_ISLAND,587424.5833333334,
10305,2022,STATEN_ISLAND,650454.3,
10306,2015,STATEN_ISLAND,437176.75,
10306,2016,STATEN_ISLAND,463668.8333333333,
10306,2017,STATEN_ISLAND,512174.0,
10306,2018,STATEN_ISLAND,570415.0,
10306,2019,STATEN_ISLAND,580135.4166666666,
10306,2020,STATEN_ISLAND,576870.0,
10306,2021,STATEN_ISLAND,606155.25,
10306,2022,STATEN_ISLAND,670325.1,
10307,2015,STATEN_ISLAND,512632.5,
10307,2016,STATEN_ISLAND,541091.6666666666,
10307,2017,STATEN_ISLAND,589816.1666666666,
10307,2018,STATEN_ISLAND,633742.8333333334,
10307,2019,STATEN_ISLAND,646105.75,
10307,2020,STATEN_ISLAND,646867.5,
10307,2021,STATEN_ISLAND,680026.5833333334,
10307,2022,STATEN_ISLAND,758961.3,
10308,2015,STATEN_ISLAND,432666.6666666667,
10308,2016,STATEN_ISLAND,458999.8333333333,
10308,2017,STATEN_ISLAND,502316.3333333333,
10308,2018,STATEN_ISLAND,549591.25,
10308,2019,STATEN_ISLAND,555455.5833333334,
10308,2020,STATEN_ISLAND,556857.9166666666,
10308,2021,STATEN_ISLAND,585698.8333333334,
10308,2022,STATEN_ISLAND,650727.1,
10309,2015,STATEN_ISLAND,477469.6666666667,
10309,2016,STATEN_ISLAND,503781.75,
10309,2017,STATEN_ISLAND,551149.8333333334,
10309,2018,STATEN_ISLAND,596849.5,
10309,2019,STATEN_ISLAND,608070.0,
10309,2020,STATEN_ISLAND,610372.75,
10309,2021,STATEN_ISLAND,640640.0,
10309,2022,STATEN_ISLAND,713093.5,
10310,2015,STATEN_ISLAND,399745.25,
10310,2016,STATEN_ISLAND,432821.75,
10310,2017,STATEN_ISLAND,475290.5,
10310,2018,STATEN_ISLAND,527829.6666666666,
10310,2019,STATEN_ISLAND,535201.8333333334,
10310,2020,STATEN_ISLAND,532942.0,
10310,2021,STATEN_ISLAND,566758.3333333334,
10310,2022,STATEN_ISLAND,625279.7,
10312,2015,STATEN_ISLAND,443807.3333333333,
10312,2016,STATEN_ISLAND,471326.75,
10312,2017,STATEN_ISLAND,516799.3333333333,
10312,2018,STATEN_ISLAND,561919.75,
10312,2019,STATEN_ISLAND,571957.8333333334,
10312,2020,STATEN_ISLAND,573814.25,
10312,2021,STATEN_ISLAND,603904.75,
10312,2022,STATEN_ISLAND,673293.5,
10314,2015,STATEN_ISLAND,404676.3333333333,
10314,2016,STATEN_ISLAND,435365.6666666667,
10314,2017,STATEN_ISLAND,487216.1666666667,
10314,2018,STATEN_ISLAND,539089.9166666666,
10314,2019,STATEN_ISLAND,545351.1666666666,
10314,2020,STATEN_ISLAND,541988.5,
10314,2021,STATEN_ISLAND,573984.6666666666,
10314,2022,STATEN_ISLAND,637929.3,
