zipcode,year,borough,mean_rent,count
11223,2020,BROOKLYN,1795.2024694662614,
11223,2021,BROOKLYN,1772.5329178943723,
11223,2022,BROOKLYN,1904.7521040239164,
11224,2022,BROOKLYN,2604.601838431791,
11225,2015,BROOKLYN,2117.859934363312,
11225,2016,BROOKLYN,2218.4059774630564,
11225,2017,BROOKLYN,2261.444945980988,
11225,2018,BROOKLYN,2333.9843801757283,
11225,2019,BROOKLYN,2405.489557963799,
11225,2020,BROOKLYN,2380.9262709070294,
11225,2021,BROOKLYN,2352.4441592701464,
11225,2022,BROOKLYN,2668.4942982548796,
11226,2015,BROOKLYN,1974.1773175543526,
11226,2016,BROOKLYN,2075.5917680588577,
11226,2017,BROOKLYN,2135.628031970344,
11226,2018,BROOKLYN,2198.0647291208297,
11226,2019,BROOKLYN,2252.762658393075,
11226,2020,BROOKLYN,2262.1390464984224,
11226,2021,BROOKLYN,2234.8397791118464,
11226,2022,BROOKLYN,2499.470817136645,
11228,2015,BROOKLYN,1349.932348992255,
11228,2016,BROOKLYN,1450.782956020919,
11228,2017,BROOKLYN,1499.5711205500074,
11228,2018,BROOKLYN,1589.7966907058392,
11228,2019,BROOKLYN,1672.7801593670245,
11228,2020,BROOKLYN,1748.7085531321527,
11228,2021,BROOKLYN,1773.4005592290523,
11228,2022,BROOKLYN,2029.9343057271235,
11229,2015,BROOKLYN,1705.443977817021,
11229,2016,BROOKLYN,1757.328720716865,
11229,2017,BROOKLYN,1867.5770104771693,
11229,2018,BROOKLYN,1938.107562330774,
11229,2019,BROOKLYN,2008.5507719236236,
11229,2020,BROOKLYN,2023.5297380773675,
11229,2021,BROOKLYN,2036.444113544312,
11229,2022,BROOKLYN,2163.460209967854,
11230,2015,BROOKLYN,1848.7966608438182,
11230,2016,BROOKLYN,1961.2415914880733,
11230,2017,BROOKLYN,2041.2380263378552,
11230,2018,BROOKLYN,2074.020423039889,
11230,2019,BROOKLYN,2105.232356261181,
11230,2020,BROOKLYN,2133.9842582352953,
11230,2021,BROOKLYN,2068.316275276401,
11230,2022,BROOKLYN,2240.5625170087974,
11231,2015,BROOKLYN,2825.029556694287,
11231,2016,BROOKLYN,2859.368089811224,
11231,2017,BROOKLYN,2903.186511087213,
11231,2018,BROOKLYN,2998.5442385338715,
11231,2019,BROOKLYN,3117.93651672406,
11231,2020,BROOKLYN,3086.191237010445,
11231,2021,BROOKLYN,3079.0089486301076,
11231,2022,BROOKLYN,3544.7003425775074,
11232,2020,BROOKLYN,2375.7612655398193,
11232,2021,BROOKLYN,2377.558202688018,
11232,2022,BROOKLYN,2674.335488638097,
11233,2015,BROOKLYN,2118.377336486633,
11233,2016,BROOKLYN,2192.355087406033,
11233,2017,BROOKLYN,2273.829879650922,
11233,2018,BROOKLYN,2308.4854602486275,
11233,2019,BROOKLYN,2394.0024093876546,
11233,2020,BROOKLYN,2349.364891761145,
11233,2021,BROOKLYN,2269.7946442149264,
11233,2022,BROOKLYN,2654.0899396491595,
11234,2022,BROOKLYN,2399.2487874518124,
11235,2015,BROOKLYN,1789.5725351467286,
11235,2016,BROOKLYN,1889.0512821123023,
11235,2017,BROOKLYN,1969.3710822190212,
11235,2018,BROOKLYN,2027.398534075325,
11235,2019,BROOKLYN,2085.0985170956833,
11235,2020,BROOKLYN,2092.2850047280167,
11235,2021,BROOKLYN,2133.7679774233156,
11235,2022,BROOKLYN,2363.814354817865,
11236,2022,BROOKLYN,1872.054156816085,
11237,2015,BROOKLYN,2496.2203841235087,
11237,2016,BROOKLYN,2549.0530387695085,
11237,2017,BROOKLYN,2572.2873460734086,
11237,2018,BROOKLYN,2551.677222774528,
11237,2019,BROOKLYN,2619.0511821340797,
11237,2020,BROOKLYN,2650.171619828398,
11237,2021,BROOKLYN,2608.834665252049,
11237,2022,BROOKLYN,3187.6069116025196,
11238,2015,BROOKLYN,3063.5112853450737,
11238,2016,BROOKLYN,3088.6822262585247,
11238,2017,BROOKLYN,3071.8596331137473,
11238,2018,BROOKLYN,3115.539099172491,
11238,2019,BROOKLYN,3181.2806340700267,
11238,2020,BROOKLYN,3112.8091036766987,
11238,2021,BROOKLYN,3050.778023622604,
11238,2022,BROOKLYN,3540.1964348227507,
11249,2015,BROOKLYN,3572.5722635441575,
11249,2016,BROOKLYN,3552.154012272997,
11249,2017,BROOKLYN,3603.8737198941562,
11249,2018,BROOKLYN,3566.9721352516044,
11249,2019,BROOKLYN,3718.5707196270755,
11249,2020,BROOKLYN,3812.0677462773656,
11249,2021,BROOKLYN,3999.540136667861,
11249,2022,BROOKLYN,4758.897025361814,
