Address,County,Zip,price,Listing Url,Borough
"808 Columbus Ave New York, NY 10025",New York,10025,4168.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,4242.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,4288.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,4597.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,4604.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,4689.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,4732.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,4765.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,4877.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,4966.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,4973.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,7042.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,7091.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,7763.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,7942.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,8756.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"808 Columbus Ave New York, NY 10025",New York,10025,8374.0,https://www.trulia.com/c/ny/new-york/columbus-square-808-columbus-ave-new-york-ny-10025--2171789863,New York
"1 Morningside Dr New York, NY 10025",New York,10025,4565.0,https://www.trulia.com/c/ny/new-york/avalon-morningside-park-1-morningside-dr-new-york-ny-10025--2008651520,New York
"1 Morningside Dr New York, NY 10025",New York,10025,4550.0,https://www.trulia.com/c/ny/new-york/avalon-morningside-park-1-morningside-dr-new-york-ny-10025--2008651520,New York
