year,borough,zipcode,households_s1901_total_population,households_s1902_total_population,households_median_income,households_s1901_mean_income,households_s1902_mean_income,families_total_population,families_median_income,families_mean_income,married_couple_families_total_population,married_couple_families_median_income,married_couple_families_mean_income,nonfamily_households_total_population,nonfamily_households_median_income,nonfamily_households_mean_income,resident_total_population,resident_mean_income,white_total_population,white_mean_income,african_american_total_population,african_american_mean_income,amer_indian/alaska_native_total_population,amer_indian/alaska_native_mean_income,asian_total_population,asian_mean_income,hawaiian/_pacific_islander_total_population,hawaiian/_pacific_islander_mean_income,other_race_total_population,other_race_mean_income,two_or_more_races_total_population,two_or_more_races_mean_income,latino_total_population,latino_mean_income,white_alone(not_latino)_total_population,white_alone(not_latino)_mean_income
2011,Bronx,10467,34447.0,34447.0,35404,46481,46481,21749.0,40799,51760,8941.0,58013,71759,12698.0,24463,33871,93833.0,18252,19.7,22036,38.4,20221,0.6,15290,5.4,14695,0.0,31388,31.7,15228,4.1,9962,44.7,15028,11.7,26226
2011,Bronx,10468,24774.0,24774.0,31707,42329,42329,16773.0,33268,43948,6096.0,50694,,8001.0,24917,35150,73738.0,15380,13.9,17503,24.2,19995,0.3,12830,4.0,19936,0.1,,54.6,12720,3.0,11075,69.0,12841,4.1,25708
2011,Bronx,10469,22355.0,22355.0,56352,69155,69155,16158.0,66621,77869,8791.0,83855,,6197.0,30959,40553,71245.0,23527,20.8,27331,55.5,23647,0.6,16559,4.4,26902,0.0,,15.6,17626,3.0,22011,24.4,20070,15.0,27987
2011,Bronx,10470,5883.0,5883.0,52510,65451,65451,3450.0,61777,74058,1932.0,81944,,2433.0,45597,50678,14952.0,27461,45.8,34620,34.4,23120,0.3,17350,3.5,24955,0.0,,13.5,15897,2.5,23104,16.8,16360,42.7,35716
2011,Bronx,10471,8965.0,8965.0,72431,104139,104139,4472.0,104661,142617,3396.0,124250,,4493.0,50016,63507,22222.0,43615,72.4,49296,8.3,36766,0.0,,7.1,29753,0.0,,10.1,24307,2.1,15029,19.7,29933,64.5,50984
2011,Bronx,10472,20991.0,20991.0,30413,43420,43420,14630.0,32326,46398,5655.0,49732,62981,6361.0,17232,28781,66041.0,15246,14.7,18413,30.5,16802,0.9,12161,5.8,16801,0.0,,38.9,13477,9.2,11832,65.0,14194,1.9,16238
2011,Bronx,10473,20150.0,20150.0,39818,54715,54715,13981.0,45921,61668,5056.0,75553,91667,6169.0,21493,32281,57444.0,20570,15.3,24775,39.4,21945,0.2,21222,1.7,20778,0.0,,41.0,17607,2.4,21652,60.0,18572,1.7,48608
2011,Bronx,10474,3673.0,3673.0,22403,30209,30209,2694.0,24167,31333,808.0,34403,,979.0,13045,21567,12466.0,10212,38.3,9564,31.5,11891,0.2,,0.8,3489,0.0,,25.7,9226,3.6,9537,72.8,9558,0.9,14005
2011,Bronx,10475,17571.0,17571.0,47767,60158,60158,9818.0,66918,74715,5085.0,76060,,7753.0,32771,40488,41377.0,26910,22.4,29479,57.7,27003,0.7,13418,0.7,24660,0.0,,15.1,25395,3.4,18525,32.1,25861,10.9,28584
2011,Bronx,10550,13735.0,13735.0,40912,53012,53012,8814.0,49382,63157,4156.0,68669,,4921.0,26129,32059,36523.0,20856,17.5,19450,67.1,21968,0.1,24202,1.0,39486,0.0,,11.7,14880,2.6,21193,17.9,14015,10.9,22013
2011,Queens,11370,8759.0,8759.0,57334,73882,73882,6496.0,63451,78181,4525.0,69135,,2263.0,38192,48503,38370.0,18777,34.8,27257,17.1,5313,0.6,12351,19.1,19757,0.0,,24.3,16965,4.0,10009,37.7,17701,22.3,31293
2011,Brooklyn,11201,23254.0,23254.0,91764,155523,155523,10258.0,145246,229526,7835.0,181703,,12996.0,71992,96302,51356.0,71739,66.6,88345,14.1,39204,0.3,22793,8.7,49373,0.0,,5.8,17120,4.4,45056,12.6,36020,61.8,90401
2011,Brooklyn,11203,27145.0,27145.0,48797,62792,62792,19603.0,59699,70818,9168.0,74934,84467,7542.0,24748,34977,80337.0,22242,4.3,17979,91.1,22508,0.2,22062,1.2,27512,0.0,,1.9,17555,1.3,19417,5.9,17743,2.8,15643
2011,Brooklyn,11204,24979.0,24979.0,44312,59739,59739,18777.0,50590,65740,14592.0,52897,69345,6202.0,24099,37692,78690.0,19503,69.7,20344,0.7,30705,0.1,23581,26.4,17255,0.0,,2.1,18426,0.9,13457,10.3,16781,62.1,20869
2011,Brooklyn,11205,14033.0,14033.0,42760,66807,66807,7289.0,47832,72424,4188.0,74696,,6744.0,38733,58859,38997.0,24779,48.7,26093,33.2,22957,0.1,8800,4.5,34518,0.1,,9.6,18790,3.7,28080,22.6,18750,39.1,28135
2011,Brooklyn,11206,27668.0,27668.0,28114,41829,41829,17342.0,30759,42904,7783.0,41619,55789,10326.0,19638,36936,79674.0,15008,41.7,16356,27.5,14639,0.4,30429,5.1,17084,0.0,,23.0,11913,2.3,18845,44.9,13381,24.2,17421
2011,Brooklyn,11207,30553.0,30553.0,33127,44627,44627,21890.0,35639,48408,7994.0,54888,68068,8663.0,21895,31731,89676.0,15880,13.8,14330,65.6,17071,0.3,11126,1.1,15809,0.4,11849,17.3,13176,1.5,11340,33.7,13518,2.2,17749
2011,Brooklyn,11208,28945.0,28945.0,35437,46642,46642,22420.0,37849,49608,9768.0,53265,63987,6525.0,19392,28341,93447.0,15058,32.3,13852,48.8,16108,0.2,23175,5.1,14489,0.0,,12.6,13945,1.1,17816,43.8,13447,3.5,17976
2011,Brooklyn,11209,30920.0,30920.0,57082,80997,80997,16878.0,70082,95735,12548.0,78448,105541,14042.0,44432,61507,71704.0,35671,79.0,37721,2.0,34200,0.2,12362,11.8,32770,0.2,28197,4.7,20014,2.1,14654,14.6,25235,70.3,38839
2011,Brooklyn,11210,21806.0,21806.0,52895,72345,72345,15294.0,62813,83323,9308.0,80309,102512,6512.0,31126,43282,64508.0,25095,36.1,29556,56.5,22874,0.1,,3.0,20355,0.1,23188,2.8,18926,1.6,23199,6.8,18057,33.3,30647
2011,Brooklyn,11211,33228.0,33228.0,42610,62098,62098,17276.0,35422,55501,11619.0,39445,63089,15952.0,52573,67462,90522.0,23376,85.1,23252,4.3,16716,0.3,12635,3.3,43697,0.1,18647,5.3,17472,1.7,27309,27.2,17393,65.2,25140
2011,Brooklyn,11212,30024.0,30024.0,27278,38168,38168,20152.0,31369,43611,5961.0,54857,63545,9872.0,15795,24095,80311.0,15006,5.0,8413,85.6,15936,0.3,10257,0.8,23697,0.0,,6.5,7750,1.7,11959,15.6,9029,0.8,16825
2011,Brooklyn,11213,23257.0,23257.0,34046,45630,45630,14603.0,38134,52091,6211.0,51034,65571,8654.0,23652,32248,62231.0,17768,19.7,15646,72.1,18878,0.1,22748,0.9,19355,0.0,,6.1,11189,1.0,17616,9.6,12844,18.2,15620
2011,Brooklyn,11214,29828.0,29828.0,39822,54880,54880,20356.0,46950,62580,16401.0,47220,62709,9472.0,22725,36482,78326.0,21583,59.5,24466,1.0,25459,0.3,15580,33.6,17630,0.2,2742,4.4,13586,0.9,20314,12.1,16517,52.7,25237
2011,Brooklyn,11215,28524.0,28524.0,88450,125128,125128,15064.0,119632,156685,11393.0,143775,,13460.0,65622,84330,65477.0,55260,74.7,62089,5.5,44604,0.2,30809,6.5,51693,0.0,,9.5,22722,3.6,23401,17.8,28861,67.7,64386
2011,Brooklyn,11216,22274.0,22274.0,40174,54693,54693,11507.0,43939,62769,4147.0,60560,86927,10767.0,33710,42369,53065.0,23890,11.4,34469,78.2,22765,0.4,6036,3.6,23370,0.4,45131,3.8,14782,2.2,25013,9.6,20727,9.6,37294
2011,Brooklyn,11217,16871.0,16871.0,74518,111074,111074,7822.0,99254,136424,5363.0,125438,,9049.0,62459,84737,38992.0,49367,52.9,64464,23.2,30620,0.7,82147,6.4,63326,0.0,,12.4,17214,4.4,31316,21.4,23160,46.9,68085
2011,Brooklyn,11218,25497.0,25497.0,50938,66711,66711,16957.0,55356,72717,12203.0,61137,78300,8540.0,39156,50951,76811.0,22862,57.9,25878,9.8,26735,0.4,18468,16.7,15741,0.0,,12.9,16259,2.3,19910,20.0,17711,51.8,26606
2011,Brooklyn,11219,26541.0,26541.0,34804,51375,51375,20430.0,36549,53882,16466.0,37221,56064,6111.0,21851,36812,94083.0,14999,66.3,15832,1.4,18751,0.3,15865,25.9,13221,0.0,,5.7,12378,0.3,15864,11.6,14340,61.0,15769
2011,Brooklyn,11220,30643.0,30643.0,37822,52252,52252,22142.0,38149,54304,14807.0,41507,59932,8501.0,24627,37832,99540.0,16723,34.8,22050,3.2,23861,2.0,9936,40.3,13296,0.1,3235,18.2,13927,1.3,13251,40.0,15050,16.3,28654
2011,Brooklyn,11221,27089.0,27089.0,36577,48517,48517,17415.0,42685,52945,6797.0,59571,68871,9674.0,25328,36895,77041.0,17845,25.7,17241,54.5,19507,0.2,24660,2.9,16302,0.0,,15.1,13540,1.7,13683,41.4,14090,4.4,32255
2011,Brooklyn,11222,16069.0,16069.0,60610,74569,74569,6784.0,65541,79994,4794.0,77917,,9285.0,53750,67466,33482.0,36752,85.9,38063,2.0,24495,0.9,35811,5.7,30127,0.0,,3.8,22246,1.8,39774,13.3,22584,76.8,39835
2011,Brooklyn,11223,26837.0,26837.0,40626,58107,58107,19133.0,49407,68088,15064.0,50374,70078,7704.0,21578,30605,73208.0,21935,66.7,24492,3.1,16808,0.2,11951,22.9,17334,0.0,,5.1,18033,2.0,7688,12.1,17518,60.5,25183
2011,Brooklyn,11224,18734.0,18734.0,31822,45299,45299,12010.0,41111,53911,7708.0,43802,60973,6724.0,15361,27096,45092.0,19603,60.2,23552,25.6,13475,0.5,15850,6.1,17010,0.1,,5.9,11764,1.7,9839,16.1,12594,53.2,24655
2011,Brooklyn,11225,23059.0,23059.0,40295,53819,53819,13928.0,46288,61848,5916.0,64137,77364,9131.0,31494,38521,58987.0,21713,13.4,26064,78.1,20983,0.3,20573,2.0,34683,0.0,,5.1,16605,1.1,21492,9.0,17838,12.6,26754
2011,Brooklyn,11226,36367.0,36367.0,39481,50667,50667,23089.0,44560,56486,9387.0,56939,72929,13278.0,29039,37003,99422.0,19321,10.2,27604,76.4,19075,0.2,10991,3.3,15107,0.0,,8.3,13582,1.7,18220,16.2,14478,5.8,38696
2011,Brooklyn,11228,14973.0,14973.0,59624,79691,79691,11085.0,67253,87925,8853.0,68573,,3888.0,33194,52652,42585.0,28759,69.7,33183,1.6,16643,0.3,33075,24.6,18531,0.0,,3.2,18446,0.6,20462,9.9,23617,63.7,33739
2011,Brooklyn,11229,29950.0,29950.0,48683,65115,65115,20406.0,60559,76230,15350.0,68118,82988,9544.0,26462,39946,77021.0,25864,72.1,28146,4.5,16031,0.1,29458,20.1,21279,0.0,,2.6,16754,0.6,17973,8.3,16899,67.1,28876
2011,Brooklyn,11230,30012.0,30012.0,43147,61727,61727,20076.0,54297,72559,15154.0,59857,78564,9936.0,23531,37786,85757.0,22155,72.5,24157,9.2,20838,0.1,31692,11.3,14710,0.0,,5.3,14971,1.7,15141,10.5,17252,68.3,24429
2011,Brooklyn,11231,15281.0,15281.0,71895,101734,101734,8163.0,76927,117808,5212.0,117366,,7118.0,66181,81282,35109.0,44807,61.7,58152,13.3,14801,0.2,7247,5.6,55376,0.0,,15.3,20549,3.9,18048,23.6,21474,56.0,61223
2011,Brooklyn,11232,8658.0,8658.0,38353,54763,54763,5634.0,36697,55422,3280.0,47115,,3024.0,36977,50448,27925.0,17930,43.7,22111,6.8,16941,0.3,4347,11.9,15482,0.0,,33.5,13899,3.8,16056,60.6,14155,20.4,29432
2011,Brooklyn,11233,25595.0,25595.0,34633,48047,48047,15880.0,37111,51258,4841.0,56979,75038,9715.0,26044,39574,66315.0,19204,4.1,22248,83.9,19469,0.2,17594,1.3,23831,0.0,,9.3,13798,1.2,27926,15.5,13476,1.9,29817
2011,Brooklyn,11234,31874.0,31874.0,67776,83647,83647,24546.0,80689,93693,16256.0,93266,,7328.0,32438,44402,94891.0,28836,46.9,32456,44.0,26285,0.2,26257,3.9,23172,0.3,,3.2,20888,1.5,25775,7.6,25072,43.2,32790
2011,Brooklyn,11235,30792.0,30792.0,42492,62842,62842,18072.0,61187,80806,13705.0,69237,86740,12720.0,22831,35874,71129.0,27825,79.8,29524,2.9,22492,0.2,53639,14.2,21264,0.0,,1.6,14192,1.2,19965,8.3,16200,73.4,30785
2011,Brooklyn,11236,31109.0,31109.0,61794,71984,71984,23987.0,67590,78081,12226.0,87843,95599,7122.0,36337,44739,94643.0,24619,8.1,23506,84.3,25123,0.2,29388,3.0,22034,0.0,,4.0,18931,0.6,17615,8.0,19299,5.6,25573
2011,Brooklyn,11237,16134.0,16134.0,37648,47206,47206,11621.0,35200,45225,5197.0,44052,,4513.0,27428,42200,52123.0,15273,24.1,22090,6.6,14749,0.2,6926,6.1,17288,0.0,,60.9,12178,2.2,23171,77.9,13117,9.9,31489
2011,Brooklyn,11238,22826.0,22826.0,61950,80729,80729,9857.0,71563,96588,5335.0,102686,,12969.0,52442,66228,50840.0,37230,36.9,52097,45.8,29420,0.1,44747,7.0,34527,0.0,,6.3,18030,3.9,24170,11.1,23276,34.2,53450
2011,Brooklyn,11239,6436.0,6436.0,23941,34784,34784,3339.0,36088,44689,1157.0,32396,,3097.0,16616,23626,12802.0,17607,36.1,13203,49.3,21749,0.3,,1.2,6675,0.0,,11.0,15874,2.0,12585,25.2,13492,26.8,14225
2011,Queens,11425,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
2011,Manhattan,10001,10473.0,10473.0,67795,121403,121403,3029.0,81319,157583,1969.0,142049,,7444.0,58083,105145,21097.0,63431,63.9,77348,10.5,20907,1.3,13651,16.8,58766,0.0,,3.7,21318,3.9,26317,14.1,27990,56.2,82877
2011,Manhattan,10002,32573.0,32573.0,32407,57063,57063,17833.0,34724,56568,11149.0,39343,,14740.0,26530,56207,81335.0,25024,30.5,43548,7.0,20028,0.3,14304,46.0,16925,0.0,,13.1,13884,3.2,22491,24.5,14719,21.6,54427
2011,Manhattan,10003,27326.0,27326.0,88601,140822,140822,7238.0,138273,206399,5810.0,161136,,20088.0,73011,115837,55190.0,73629,76.9,81778,3.6,37601,0.2,9242,14.1,51685,0.0,,2.6,31398,2.7,49382,7.7,39748,72.0,84113
2011,Manhattan,10004,1453.0,1453.0,127448,245827,245827,407.0,250000+,435870,387.0,250000+,,1046.0,121181,171606,2604.0,138829,71.9,166901,6.1,35772,0.0,,15.7,88473,0.0,,1.8,,4.5,31790,7.3,75236,65.9,175419
2011,Manhattan,10005,2772.0,2772.0,117885,159876,159876,702.0,137917,209558,617.0,149028,,2070.0,109630,140338,4935.0,94019,75.4,94585,1.0,63392,0.0,,20.5,103387,0.0,,0.2,,2.8,26577,3.5,77397,72.6,94522
2011,Manhattan,10006,1597.0,1597.0,111617,150366,150366,382.0,206691,246771,267.0,232083,,1215.0,99740,120056,2722.0,92121,62.5,107685,3.2,23452,0.0,,22.1,71694,0.0,,8.0,54580,4.2,91488,9.7,36520,59.3,111999
2011,Manhattan,10007,2266.0,2266.0,191900,347623,347623,1138.0,250000+,454948,1067.0,250000+,,1128.0,157292,239221,5892.0,136747,71.9,155404,6.9,29967,0.0,,13.5,160770,0.0,,4.7,17841,3.0,11619,9.0,42724,68.9,157913
2011,Manhattan,10009,29713.0,29713.0,55316,83700,83700,11072.0,57318,95578,6340.0,80781,,18641.0,53372,75025,62335.0,43105,58.7,57069,8.7,22550,0.3,14261,16.1,29252,0.0,,12.6,15279,3.6,26544,24.2,19462,49.3,63167
2011,Manhattan,10010,15481.0,15481.0,94242,155208,155208,4575.0,144785,212347,3829.0,155225,,10906.0,82647,131071,28954.0,85864,75.3,95439,4.6,41405,0.0,,12.7,75561,0.0,,3.4,37469,4.0,30105,11.9,42643,68.4,101127
2011,Manhattan,10011,29274.0,29274.0,99700,181230,181230,7554.0,164083,274757,5902.0,200750,,21720.0,88033,147117,51064.0,106159,79.3,118956,3.8,29512,0.6,21123,9.3,82963,0.0,,2.5,24328,4.5,50092,10.9,55709,72.8,123079
2011,Manhattan,10012,12932.0,12932.0,77072,134811,134811,3297.0,118411,200826,2446.0,145167,,9635.0,68233,111486,24342.0,75100,76.5,82368,2.5,41485,0.0,,15.1,52900,0.0,,3.1,18885,2.7,89996,5.8,65898,73.1,81613
2011,Manhattan,10013,10747.0,10747.0,64806,172252,172252,5351.0,83917,240699,4258.0,116528,,5396.0,50444,103199,25942.0,73722,50.9,115383,3.8,15731,0.2,,40.5,29869,0.0,,1.8,67986,2.7,36576,5.7,42642,47.7,119014
2011,Manhattan,10014,18768.0,18768.0,102747,161283,161283,4566.0,163156,264028,3674.0,172864,,14202.0,85083,127557,31685.0,98716,89.0,101138,1.7,101213,0.0,,5.7,69464,0.0,,1.4,26316,2.1,123106,5.3,94073,84.9,100619
2011,Manhattan,10016,29292.0,29292.0,102796,156390,156390,8354.0,148870,240316,6381.0,192361,,20938.0,88426,122397,53754.0,88917,75.9,95359,3.5,47001,0.2,38228,13.7,81430,0.0,,4.8,47619,1.8,72423,9.4,46630,71.4,97625
2011,Manhattan,10017,10045.0,10045.0,105974,157961,157961,2319.0,176080,244812,1982.0,187926,,7726.0,88390,131532,15603.0,107099,76.6,109847,2.0,32106,0.1,,17.9,110908,0.0,,1.2,39890,2.2,88225,7.3,66051,71.0,112474
2011,Manhattan,10018,2601.0,2601.0,84850,126491,126491,678.0,151000,183160,461.0,165375,,1923.0,76287,106178,5290.0,66348,58.7,73425,7.2,41065,0.9,11146,23.7,78154,0.0,,7.2,8104,2.2,47430,20.9,23676,47.1,83647
2011,Manhattan,10019,24103.0,24103.0,79508,134360,134360,6438.0,118602,189155,4949.0,166504,,17665.0,69100,113510,40778.0,82759,72.5,91673,5.7,30967,0.3,18235,13.0,94332,0.0,,5.4,21165,3.0,34958,18.3,30519,62.8,99505
2011,Manhattan,10020,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
2011,Manhattan,10021,23232.0,23232.0,109343,203545,203545,8727.0,192917,324463,7622.0,209105,,14505.0,78736,130626,41546.0,115819,87.7,121213,2.5,113240,0.3,41816,8.0,72667,0.0,,0.4,60846,1.1,47671,4.8,69938,83.8,123298
2011,Manhattan,10022,17337.0,17337.0,109625,201941,201941,5994.0,212154,333355,5352.0,228382,,11343.0,86481,132235,28847.0,123389,85.3,130052,2.0,90215,0.0,,9.7,95832,0.0,,1.2,56853,1.7,34340,5.8,64952,81.0,133136
2011,Manhattan,10023,32500.0,32500.0,105260,191790,191790,11627.0,189109,303747,10185.0,207297,,20873.0,83998,129156,60035.0,105219,82.4,116010,3.1,35049,0.1,14982,9.3,78321,0.0,,2.5,14958,2.6,33189,9.1,46539,76.7,119652
2011,Manhattan,10024,30055.0,30055.0,111582,194581,194581,12681.0,182624,298499,10376.0,211096,,17374.0,78926,117361,60239.0,98982,84.4,107759,5.1,30868,0.4,16796,4.9,95320,0.0,,1.5,24051,3.6,35920,10.5,42498,77.4,113307
2011,Manhattan,10025,43174.0,43174.0,64592,115200,115200,17965.0,101556,165175,12197.0,144729,211804,25209.0,50132,78819,95330.0,54383,64.9,68988,16.2,23199,0.7,18642,9.1,42550,0.0,,5.8,18832,3.4,23705,21.0,21094,56.9,74636
2011,Manhattan,10026,14169.0,14169.0,39574,64751,64751,7177.0,42362,74256,2918.0,80064,,6992.0,35451,52365,36026.0,27564,22.8,48058,57.8,20919,0.6,14986,4.7,41275,0.0,,10.5,13564,3.6,29630,19.3,19279,18.9,49304
2011,Manhattan,10027,22827.0,22827.0,35157,62340,62340,11189.0,39343,72158,4849.0,83615,,11638.0,31574,51787,58834.0,26810,29.0,41810,42.2,23415,0.2,40851,8.3,23589,0.2,,16.3,11426,3.9,23159,24.0,13946,24.1,46186
2011,Manhattan,10028,24373.0,24373.0,107885,202861,202861,9599.0,197008,335048,8550.0,219100,,14774.0,83330,116424,45345.0,111070,89.2,114989,1.4,55733,0.0,,6.6,93833,0.1,,0.8,119953,1.8,26539,5.4,66059,85.0,117207
2011,Manhattan,10029,29139.0,29139.0,31851,58637,58637,17019.0,34020,64420,6050.0,54670,112724,12120.0,24810,48522,78451.0,23899,30.8,37283,31.7,17036,0.2,21534,8.1,31468,0.1,10023,26.2,15271,3.0,14453,50.1,15122,13.2,65232
2011,Manhattan,10030,12004.0,12004.0,29063,49605,49605,5745.0,37624,59697,1802.0,61352,,6259.0,19256,35896,29186.0,22139,13.5,35896,72.9,20793,0.0,22692,1.5,30176,0.0,,5.7,10666,6.4,16589,21.9,11104,8.0,50949
2011,Manhattan,10031,20477.0,20477.0,36188,58887,58887,11337.0,37559,63389,4473.0,46299,,9140.0,31133,50079,58736.0,23427,24.8,30822,38.6,25960,0.5,16566,2.2,29048,0.0,,19.2,14550,14.7,15148,54.6,13957,12.8,47402
2011,Manhattan,10032,20311.0,20311.0,35079,49433,49433,11490.0,38399,52632,4134.0,51213,69687,8821.0,24221,40472,62798.0,18492,23.3,23535,23.1,22802,0.9,14215,3.6,23425,0.0,,44.1,13516,5.1,16330,68.4,13922,9.7,35884
2011,Manhattan,10033,19188.0,19188.0,40625,61086,61086,11627.0,42137,64703,5447.0,59304,,7561.0,33801,50972,58027.0,22790,41.4,30401,7.3,26518,0.4,48106,2.2,36595,0.1,19100,44.2,14397,4.5,20323,70.8,14894,21.8,44087
2011,Manhattan,10034,15073.0,15073.0,42919,55286,55286,8804.0,40699,53212,4335.0,56609,,6269.0,42568,53704,40925.0,22350,36.0,33420,10.1,24710,0.5,9633,1.8,37335,0.2,2290,46.9,12892,4.5,23550,72.8,14832,16.9,50847
2011,Manhattan,10035,12209.0,12209.0,26365,45516,45516,6880.0,31352,50307,2382.0,53095,,5329.0,16622,36920,35290.0,17659,20.1,24097,38.0,20054,0.5,10089,2.9,23652,0.0,,35.3,10732,3.2,20758,51.9,11597,9.1,37940
2011,Manhattan,10036,13537.0,13537.0,62997,101421,101421,3151.0,86611,144732,2148.0,103371,,10386.0,53472,87161,22371.0,64545,62.6,67502,8.2,35299,0.4,18069,17.4,89781,0.0,,7.3,23436,4.0,48612,17.2,27282,55.5,71750
2011,Manhattan,10037,8434.0,8434.0,40681,52434,52434,3347.0,50560,65556,1102.0,85179,,5087.0,32788,43339,17489.0,27291,7.7,37568,77.5,27628,0.2,,3.7,25148,0.0,,3.4,14654,7.4,18922,14.9,18526,4.6,57350
2011,Manhattan,10038,8448.0,8448.0,65473,124271,124271,3672.0,72857,136486,2476.0,100227,,4776.0,60625,114485,19530.0,57448,47.5,86779,7.7,39475,1.2,5000,32.8,34575,0.0,,8.1,15145,2.8,20453,14.7,20479,42.3,94026
