geo_id,year,borough,zipcode,total_housing_units,occupied_housing_units,owner_occupied_units,own_occ_median_value,renter_occupied_units,rent_occ_median_rent,vacant_housing_units,occ_units_paying_rent,homeowner_vacancy_rate,rental_vacancy_rate,median_rooms,no_bedrooms,1_bedroom,2_bedrooms,3_bedrooms,4_bedrooms,5_or_more_bedrooms,avg_household_size_own_occ_unit,avg_household_size_rent_occ_unit
8600000US10475,2011,Bronx,10475,18267.0,17571.0,9196.0,74700.0,8375.0,845.0,696.0,8268.0,0.7,0.9,4.0,313.0,6132.0,6567.0,4968.0,198.0,89.0,2.33,2.25
8600000US10550,2011,Bronx,10550,16073.0,13735.0,3121.0,419200.0,10614.0,1104.0,2338.0,10431.0,5.5,9.7,3.9,692.0,5212.0,5777.0,3208.0,685.0,499.0,2.95,2.54
8600000US11370,2011,Queens,11370,9804.0,8759.0,4365.0,564300.0,4394.0,1348.0,1045.0,4243.0,1.6,3.4,4.5,290.0,2177.0,3654.0,2856.0,418.0,409.0,3.25,3.12
8600000US11201,2011,Brooklyn,11201,26350.0,23254.0,9014.0,676200.0,14240.0,1581.0,3096.0,14068.0,3.6,2.0,3.4,3683.0,10480.0,7460.0,3051.0,963.0,713.0,2.21,1.84
8600000US11203,2011,Brooklyn,11203,29291.0,27145.0,11353.0,438600.0,15792.0,1067.0,2146.0,15165.0,0.2,2.1,4.7,1254.0,7086.0,9240.0,8539.0,2038.0,1134.0,3.32,2.56
8600000US11204,2011,Brooklyn,11204,26554.0,24979.0,9375.0,646800.0,15604.0,1111.0,1575.0,15096.0,1.3,2.8,4.3,661.0,6997.0,8550.0,6452.0,2366.0,1528.0,3.53,2.92
8600000US11205,2011,Brooklyn,11205,16632.0,14033.0,3351.0,619100.0,10682.0,1090.0,2599.0,10426.0,1.4,7.1,4.0,1407.0,4916.0,5283.0,3275.0,1287.0,464.0,2.59,2.59
8600000US11206,2011,Brooklyn,11206,30475.0,27668.0,2996.0,547700.0,24672.0,771.0,2807.0,24301.0,1.4,3.6,4.0,1732.0,8165.0,12205.0,5964.0,1572.0,837.0,3.62,2.78
8600000US11207,2011,Brooklyn,11207,33965.0,30553.0,7734.0,438700.0,22819.0,953.0,3412.0,22086.0,2.5,5.0,4.1,2246.0,6727.0,12976.0,8678.0,2140.0,1198.0,3.20,2.77
8600000US11208,2011,Brooklyn,11208,33158.0,28945.0,7476.0,468000.0,21469.0,1095.0,4213.0,21127.0,4.1,8.0,4.1,2046.0,5396.0,12942.0,9606.0,2039.0,1129.0,3.49,3.08
8600000US11209,2011,Brooklyn,11209,32729.0,30920.0,10973.0,611400.0,19947.0,1218.0,1809.0,19547.0,0.7,3.4,4.0,1966.0,12295.0,9483.0,6014.0,1917.0,1054.0,2.63,2.13
8600000US11210,2011,Brooklyn,11210,23359.0,21806.0,10162.0,513500.0,11644.0,1051.0,1553.0,11253.0,2.4,4.1,4.6,1133.0,6772.0,6181.0,5533.0,2296.0,1444.0,3.41,2.56
8600000US11211,2011,Brooklyn,11211,35810.0,33228.0,5480.0,661400.0,27748.0,1139.0,2582.0,27204.0,4.2,2.7,3.8,5970.0,9413.0,12510.0,5371.0,1835.0,711.0,2.95,2.65
8600000US11212,2011,Brooklyn,11212,33106.0,30024.0,4585.0,399000.0,25439.0,835.0,3082.0,25038.0,1.5,4.6,4.1,1540.0,8910.0,13945.0,6955.0,1144.0,612.0,3.16,2.50
8600000US11213,2011,Brooklyn,11213,25839.0,23257.0,3840.0,587100.0,19417.0,973.0,2582.0,18994.0,4.2,4.8,4.0,1182.0,8180.0,9585.0,4429.0,1302.0,1161.0,3.47,2.47
8600000US11214,2011,Brooklyn,11214,32199.0,29828.0,10115.0,610600.0,19713.0,1031.0,2371.0,18566.0,4.3,3.7,4.1,836.0,12717.0,10382.0,6217.0,1222.0,825.0,3.17,2.28
8600000US11215,2011,Brooklyn,11215,30965.0,28524.0,11257.0,906600.0,17267.0,1612.0,2441.0,16876.0,1.7,2.1,4.2,1396.0,9475.0,11144.0,5746.0,1930.0,1274.0,2.65,2.04
8600000US11216,2011,Brooklyn,11216,26310.0,22274.0,4936.0,644300.0,17338.0,1038.0,4036.0,16932.0,5.1,6.5,3.9,2323.0,8068.0,8761.0,4504.0,1428.0,1226.0,2.96,2.18
8600000US11217,2011,Brooklyn,11217,18458.0,16871.0,4813.0,870700.0,12058.0,1473.0,1587.0,11787.0,1.7,2.6,3.8,2266.0,5492.0,6399.0,2640.0,832.0,829.0,2.62,2.08
8600000US11218,2011,Brooklyn,11218,26847.0,25497.0,8410.0,572600.0,17087.0,1194.0,1350.0,16683.0,1.5,2.9,3.9,1183.0,8758.0,9078.0,4787.0,1667.0,1374.0,3.13,2.90
