,Apartments,Apartments,Apartments,Apartments,Trulia,Trulia,Trulia,Trulia,Zillow,Zillow,Zillow,Zillow
,Rent,Borough,Zip,Year,Zip,Borough,Year,Rent,mean_rent,Zip,Borough,Year
157,2600,Queens,11379,2022.0,,,,,3607.0,10018,Manhattan,2015
158,4000,Queens,11104,2022.0,,,,,3575.3,10005,Manhattan,2015
159,2100,Queens,11436,2022.0,,,,,5697.0,10282,Manhattan,2015
160,3800,Queens,11385,2022.0,,,,,3782.4,10004,Manhattan,2015
161,3800,Queens,11433,2022.0,,,,,3274.0,10006,Manhattan,2015
162,2600,Queens,11356,2022.0,,,,,2890.1,11109,Queens,2015
163,3188,Queens,11691,2022.0,,,,,2286.7,11385,Queens,2015
164,4000,Queens,11385,2022.0,,,,,1324.8,10467,Bronx,2015
165,2400,Queens,11357,2022.0,,,,,1974.7,11226,Brooklyn,2015
166,3368,Queens,11385,2022.0,,,,,1771.8,11220,Brooklyn,2015
167,2200,Queens,11105,2022.0,,,,,2096.4,11207,Brooklyn,2015
168,1800,Queens,11105,2022.0,,,,,1631.8,11214,Brooklyn,2015
169,3150,Queens,11422,2022.0,,,,,3106.9,10025,Manhattan,2015
170,2100,Queens,11414,2022.0,,,,,2304.3,11221,Brooklyn,2015
171,2850,Queens,11385,2022.0,,,,,1372.7,10458,Bronx,2015
172,2950,Queens,11378,2022.0,,,,,1787.3,11235,Brooklyn,2015
173,3895,Queens,11385,2022.0,,,,,1552.7,11223,Brooklyn,2015
174,2700,Queens,11413,2022.0,,,,,2876.7,11206,Brooklyn,2015
175,2150,Queens,11102,2022.0,,,,,1842.5,11229,Brooklyn,2015
176,2675,Queens,11385,2022.0,11432,Queens,2022.0,1700,1568.0,11355,Queens,2015
177,2600,Queens,11427,2022.0,,,,,1801.7,11230,Brooklyn,2015
178,3368,Queens,11385,2022.0,,,,,2057.2,11233,Brooklyn,2015
179,3200,Queens,11413,2022.0,10001,New York,2022.0,4197,1254.2,10457,Bronx,2015
180,3200,Queens,11375,2022.0,,,,,1365.6,10462,Bronx,2015
181,2600,Queens,11385,2022.0,,,,,2341.1,10029,Manhattan,2015
182,2699,Queens,11434,2022.0,,,,,2177.7,11218,Brooklyn,2015
183,2400,Queens,11385,2022.0,,,,,2960.6,10002,Manhattan,2015
184,2400,Queens,11385,2022.0,,,,,1917.5,11375,Queens,2015
185,4795,Queens,11423,2022.0,,,,,2023.9,10463,Bronx,2015
186,4800,Queens,11432,2022.0,,,,,2658.8,11215,Brooklyn,2015
187,2495,Queens,11432,2022.0,,,,,2018.9,11213,Brooklyn,2015
188,3100,Queens,11691,2022.0,11435,Queens,2022.0,2000,1699.4,11209,Brooklyn,2015
189,4200,Queens,11421,2022.0,,,,,2419.1,10027,Manhattan,2015
190,3500,Queens,11378,2022.0,,,,,3201.0,11211,Brooklyn,2015
191,5000,Queens,11357,2022.0,,,,,3208.6,11201,Brooklyn,2015
192,3950,Queens,11418,2022.0,,,,,2019.2,10032,Manhattan,2015
193,5000,Queens,11004,2022.0,,,,,3439.6,10023,Manhattan,2015
194,2500,Queens,11429,2022.0,11222,Brooklyn,2022.0,3510,2643.0,10128,Manhattan,2015
195,3600,Queens,11694,2022.0,,,,,3039.2,11238,Brooklyn,2015
196,7000,Queens,11433,2022.0,,,,,2350.2,11216,Brooklyn,2015
197,2700,Queens,11426,2022.0,,,,,3149.4,10009,Manhattan,2015
198,2350,Queens,11361,2022.0,,,,,1478.6,11435,Queens,2015
199,2200,Queens,11418,2022.0,,,,,3010.0,10024,Manhattan,2015
200,2700,Queens,11385,2022.0,,,,,2115.0,11225,Brooklyn,2015
201,3400,Queens,11370,2022.0,,,,,2093.7,10033,Manhattan,2015
202,2900,Queens,11691,2022.0,,,,,2189.2,10031,Manhattan,2015
203,3000,Queens,11426,2022.0,,,,,2032.1,11354,Queens,2015
204,3600,Queens,11377,2022.0,,,,,3275.5,10003,Manhattan,2015
205,2500,Queens,11001,2022.0,,,,,3560.4,10016,Manhattan,2015
206,2300,Queens,11385,2022.0,,,,,3576.0,10011,Manhattan,2015
207,2980,Queens,11377,2022.0,,,,,1296.9,10461,Bronx,2015
208,2200,Queens,11357,2022.0,,,,,2492.5,11237,Brooklyn,2015
209,2950,Queens,11362,2022.0,,,,,2665.7,10028,Manhattan,2015
210,2500,Queens,11426,2022.0,,,,,1341.1,11228,Brooklyn,2015
211,7500,Queens,11375,2022.0,,,,,2464.7,11205,Brooklyn,2015
212,1800,Queens,11428,2022.0,,,,,1685.8,10040,Manhattan,2015
213,3400,Queens,11694,2022.0,,,,,1918.0,11374,Queens,2015
214,1950,Queens,11417,2022.0,,,,,3490.1,10019,Manhattan,2015
215,4000,Queens,11001,2022.0,,,,,2608.8,10021,Manhattan,2015
216,3500,Staten Island,10304,2022.0,,,,,2922.4,11217,Brooklyn,2015
217,1500,Staten Island,10314,2022.0,,,,,2719.3,11101,Queens,2015
218,3000,Staten Island,10306,2022.0,,,,,2606.0,10026,Manhattan,2015
219,3200,Staten Island,10312,2022.0,,,,,2738.2,11222,Brooklyn,2015
220,2700,Staten Island,10314,2022.0,,,,,2752.5,11231,Brooklyn,2015
221,1525,Staten Island,10314,2022.0,,,,,2099.9,11106,Queens,2015
222,1600,Staten Island,10301,2022.0,,,,,3663.8,11249,Brooklyn,2015
223,1550,Staten Island,10312,2022.0,,,,,2319.2,11105,Queens,2015
224,2450,Staten Island,10305,2022.0,,,,,3589.0,10010,Manhattan,2015
225,3300,Staten Island,10314,2022.0,,,,,2224.4,10035,Manhattan,2015
226,3000,Staten Island,10303,2022.0,,,,,1942.9,11103,Queens,2015
227,1600,Staten Island,10314,2022.0,,,,,3206.3,10022,Manhattan,2015
228,4500,Brooklyn,11211,2022.0,,,,,3497.8,10014,Manhattan,2015
229,3415,Brooklyn,11235,2022.0,,,,,1934.5,10030,Manhattan,2015
230,2595,Brooklyn,11212,2022.0,,,,,2279.7,11102,Queens,2015
231,4000,Brooklyn,11211,2022.0,,,,,2987.9,10065,Manhattan,2015
232,3176,Brooklyn,11225,2022.0,,,,,4579.0,10013,Manhattan,2015
233,2000,Brooklyn,11210,2022.0,,,,,3215.6,10036,Manhattan,2015
234,3500,Brooklyn,11207,2022.0,,,,,2301.8,10075,Manhattan,2015
235,900,Brooklyn,11210,2022.0,,,,,3985.8,10001,Manhattan,2015
236,4800,Brooklyn,11207,2022.0,,,,,3771.7,10038,Manhattan,2015
237,4511,Brooklyn,11201,2022.0,,,,,3187.1,10012,Manhattan,2015
238,2600,Brooklyn,11236,2022.0,,,,,3088.5,10017,Manhattan,2015
239,2850,Brooklyn,11226,2022.0,,,,,3583.3,10018,Manhattan,2015
240,2000,Brooklyn,11226,2022.0,,,,,3584.7,10005,Manhattan,2015
241,3100,Brooklyn,11216,2022.0,,,,,5768.1,10282,Manhattan,2015
242,3370,Brooklyn,11249,2022.0,,,,,3741.2,10004,Manhattan,2015
243,1900,Brooklyn,11233,2022.0,,,,,3264.3,10006,Manhattan,2015
244,2900,Brooklyn,11233,2022.0,,,,,2959.8,11109,Queens,2015
245,1225,Brooklyn,11206,2022.0,,,,,2333.6,11385,Queens,2015
246,1500,Brooklyn,11213,2022.0,,,,,1350.4,10467,Bronx,2015
247,2350,Brooklyn,11213,2022.0,,,,,1977.0,11226,Brooklyn,2015
248,3800,Brooklyn,11223,2022.0,,,,,1839.2,11220,Brooklyn,2015
249,2875,Brooklyn,,2022.0,,,,,2078.0,11207,Brooklyn,2015
250,3200,Brooklyn,11212,2022.0,,,,,1618.9,11214,Brooklyn,2015
251,4000,Brooklyn,11224,2022.0,,,,,3120.4,10025,Manhattan,2015
285,,,,,10038,Queens,2022.0,4260,2046.7,11354,Queens,2015
290,,,,,11373,Queens,2022.0,1850,2535.6,11237,Brooklyn,2015
294,,,,,10069,New York,2022.0,4035,1695.9,10040,Manhattan,2015
301,,,,,10022,New York,2022.0,3834,2619.9,10026,Manhattan,2015
321,,,,,11109,Queens,2022.0,3036,3093.5,10017,Manhattan,2015
360,,,,,10011,New York,2022.0,4851,3013.7,11238,Brooklyn,2015
381,,,,,10038,New York,2022.0,4400,2628.7,10021,Manhattan,2015
388,,,,,10019,New York,2022.0,3510,3563.3,11249,Brooklyn,2015
400,,,,,10001,New York,2022.0,3280,2306.2,10075,Manhattan,2015
428,,,,,11355,Queens,2022.0,1700,1382.6,10462,Bronx,2015
431,,,,,10010,New York,2022.0,3365,3013.2,10002,Manhattan,2015
444,,,,,10016,Queens,2022.0,3535,2276.8,11216,Brooklyn,2015
448,,,,,10022,New York,2022.0,4200,2096.6,11225,Brooklyn,2015
453,,,,,10018,Queens,2022.0,3666,3574.2,10016,Manhattan,2015
458,,,,,11201,Brooklyn,2022.0,3292,1410.1,11228,Brooklyn,2015
473,,,,,10019,New York,2022.0,3172,3603.8,10010,Manhattan,2015
489,,,,,10280,New York,2022.0,3335,3591.2,10005,Manhattan,2015
501,,,,,10036,New York,2022.0,4000,2291.9,11221,Brooklyn,2015
506,,,,,10018,Queens,2022.0,4662,1645.2,11229,Brooklyn,2015
508,,,,,11432,Queens,2022.0,1650,1867.4,11230,Brooklyn,2015
511,,,,,11217,Brooklyn,2022.0,3170,1414.1,10462,Bronx,2015
513,,,,,10038,Queens,2022.0,4260,2225.6,11218,Brooklyn,2015
515,,,,,10001,New York,2022.0,3916,1979.7,11375,Queens,2015
520,,,,,10003,New York,2022.0,4263,2459.9,10027,Manhattan,2015
529,,,,,10016,New York,2022.0,4018,1590.8,11435,Queens,2015
535,,,,,10016,New York,2022.0,3404,3274.8,10003,Manhattan,2015
562,,,,,10001,Queens,2022.0,3900,2360.8,11102,Queens,2015
581,,,,,11691,Queens,2022.0,1625,2129.0,11207,Brooklyn,2015
590,,,,,10001,New York,2022.0,3710,1674.1,11355,Queens,2015
604,,,,,10005,New York,2022.0,3402,3292.2,11211,Brooklyn,2015
621,,,,,10005,New York,2022.0,3398,1369.3,10461,Bronx,2015
641,,,,,11217,Brooklyn,2022.0,3025,1931.7,11103,Queens,2015
646,,,,,10036,Queens,2022.0,3449,3050.0,10065,Manhattan,2015
651,,,,,11101,Queens,2022.0,3664,3764.2,10038,Manhattan,2015
659,,,,,11201,Brooklyn,2022.0,3506,2916.0,11109,Queens,2015
670,,,,,11201,Brooklyn,2022.0,3089,1555.0,11223,Brooklyn,2015
685,,,,,10016,New York,2022.0,3095,1798.1,11209,Brooklyn,2015
698,,,,,11217,Brooklyn,2022.0,3074,2204.8,10033,Manhattan,2015
703,,,,,11201,Brooklyn,2022.0,3136,3646.4,10011,Manhattan,2015
718,,,,,11201,Brooklyn,2022.0,3500,2885.7,11231,Brooklyn,2015
726,,,,,10025,Queens,2022.0,3437,3539.1,10014,Manhattan,2015
738,,,,,11201,Brooklyn,2022.0,5075,3625.2,10005,Manhattan,2015
746,,,,,10011,New York,2022.0,3911,1794.9,11220,Brooklyn,2015
757,,,,,11101,Queens,2022.0,5051,1887.1,11230,Brooklyn,2015
759,,,,,11235,Brooklyn,2022.0,3233,1399.6,10457,Bronx,2015
761,,,,,10023,Queens,2022.0,4701,2345.6,10029,Manhattan,2015
764,,,,,11211,Brooklyn,2022.0,4494,2029.8,11375,Queens,2015
766,,,,,10018,Queens,2022.0,4040,2737.1,11215,Brooklyn,2015
771,,,,,11105,Queens,2022.0,2900,3264.0,11201,Brooklyn,2015
772,,,,,10128,Queens,2022.0,4101,2130.5,10032,Manhattan,2015
776,,,,,11249,Brooklyn,2022.0,6752,2390.3,11216,Brooklyn,2015
777,,,,,10543,Queens,2022.0,2503,3145.5,10009,Manhattan,2015
790,,,,,11558,Queens,2022.0,2900,1281.8,11228,Brooklyn,2015
792,,,,,11542,Queens,2022.0,2350,1735.6,10040,Manhattan,2015
819,,,,,11542,Queens,2022.0,2691,3104.0,10017,Manhattan,2015
832,,,,,11590,Queens,2022.0,2744,3142.2,10025,Manhattan,2016
835,,,,,11572,Queens,2022.0,2450,1894.4,11235,Brooklyn,2016
838,,,,,11570,Queens,2022.0,3120,1718.4,11229,Brooklyn,2016
866,,,,,11530,Queens,2022.0,3235,2156.6,11354,Queens,2016
875,,,,,11558,Queens,2022.0,3350,1710.7,10040,Manhattan,2016
902,,,,,11550,Queens,2022.0,2907,3118.4,10017,Manhattan,2016
911,,,,,11590,Queens,2022.0,4399,1370.2,10467,Bronx,2016
915,,,,,11542,Queens,2022.0,2614,1629.5,11214,Brooklyn,2016
937,,,,,11570,Queens,2022.0,3590,3258.4,11211,Brooklyn,2016
957,,,,,7020,Queens,2022.0,2575,1396.1,11228,Brooklyn,2016
958,,,,,7020,Queens,2022.0,2709,2522.5,11205,Brooklyn,2016
970,,,,,7020,Queens,2022.0,2939,3488.0,11249,Brooklyn,2016
975,,,,,11557,Queens,2022.0,2970,3261.7,10022,Manhattan,2016
1044,,,,,10463,Bronx,2022.0,,1968.4,11374,Queens,2016
1045,,,,,10453,Bronx,2022.0,,3483.2,10019,Manhattan,2016
1046,,,,,10456,Bronx,2022.0,,1872.0,10034,Manhattan,2016
1047,,,,,10456,Bronx,2022.0,,2642.5,10021,Manhattan,2016
1048,,,,,10463,Bronx,2022.0,,2986.7,11217,Brooklyn,2016
1049,,,,,10453,Bronx,2022.0,,2814.5,11101,Queens,2016
1050,,,,,10467,Bronx,2022.0,,2652.9,10026,Manhattan,2016
1051,,,,,10452,Bronx,2022.0,,2840.3,11222,Brooklyn,2016
1052,,,,,10467,Bronx,2022.0,,2850.4,11231,Brooklyn,2016
1053,,,,,10454,Bronx,2022.0,,2181.1,11106,Queens,2016
1054,,,,,10454,Bronx,2022.0,,3596.4,11249,Brooklyn,2016
1055,,,,,10456,Bronx,2022.0,,2266.6,11105,Queens,2016
1056,,,,,10463,Bronx,2022.0,,3650.9,10010,Manhattan,2016
1057,,,,,10467,Bronx,2022.0,,2256.7,10035,Manhattan,2016
1058,,,,,10451,Bronx,2022.0,,1986.1,11103,Queens,2016
1059,,,,,10455,Bronx,2022.0,,3246.1,10022,Manhattan,2016
1060,,,,,10451,Bronx,2022.0,,3501.8,10014,Manhattan,2016
1061,,,,,10469,Bronx,2022.0,,2113.5,10030,Manhattan,2016
1062,,,,,10454,Bronx,2022.0,,2308.3,11102,Queens,2016
1063,,,,,10468,Bronx,2022.0,,3061.1,10065,Manhattan,2016
1064,,,,,10465,Bronx,2022.0,,4587.9,10013,Manhattan,2016
1065,,,,,10466,Bronx,2022.0,,3222.7,10036,Manhattan,2016
1066,,,,,10458,Bronx,2022.0,,2344.8,10075,Manhattan,2016
1067,,,,,10456,Bronx,2022.0,,3998.2,10001,Manhattan,2016
