title,description,num_beds,price_val,price_per_night,average_rating_num_rating
Private room in Brooklyn,Prime Park Slope Room (2 min. walk to subway),1 double bed,$75,$ 7 5   p e r   n i g h t,4.96 (264)
Shared room in New York,Lovely shared room in Manhattan,1 bed,$49,$ 4 9   p e r   n i g h t,4.7 (10)
Private room in New York,Lovely private bedroom in the east village,1 bed,$120,$ 1 2 0   p e r   n i g h t,5.0 (3)
Private room in New York,Charming,1 double bed,$114,$ 1 1 4   p e r   n i g h t,4.9 (118)
Condo in New York,Elegant apartment in the ❤️ of West Village,1 queen bed,$210,$ 2 1 0   p e r   n i g h t,4.83 (24)
Private room in Brooklyn,Private 2-Bedroom/Private Bath/1 Block to Train,2 beds,$80,$ 8 0   p e r   n i g h t,4.83 (18)
Private room in New York,★SLEEP IN LUXURY | CLOSE TO NYC HOSPITALS | LYSOL★,1 queen bed,$119,$ 1 1 9   p e r   n i g h t,4.69 (113)
Apartment in New York,Queens Newly Renovated Apt,2 beds,$135,$ 1 3 5   p e r   n i g h t,New
Private room in New York,W. 80's Central Park 3 Blocks Walk,1 bed,$125,$ 1 2 5   p e r   n i g h t,4.67 (409)
Private room in Brooklyn,Cozy Brooklyn Hideaway,1 queen bed,$49,$ 4 9   p e r   n i g h t,4.88 (26)
Hotel room in New York,High Floor River View King Bed Hotel Room,1 king bed,$169,$ 1 6 9   p e r   n i g h t,4.91 (53)
Apartment in Brooklyn,Studio Stay in Bedford-Stuyvesant,1 double bed,$135,$ 1 3 5   p e r   n i g h t,4.78 (41)
Private room in Brooklyn,Room in beautiful Brownstone Apt,1 bed,$70,$ 7 0   p e r   n i g h t,4.9 (111)
Private room in New York,large sunny and clean private bedroom is Astoria,1 bed,$75,$ 7 5   p e r   n i g h t,4.81 (64)
